dataset_id,task_id,measurement_modality,dataset_role,graph_eligible,total_genotype_space,n_groups,present_n,present_pct,exact_n,exact_pct,censored_n,censored_pct,boundary_ambiguous_n,boundary_ambiguous_pct,missing_n,missing_pct,informative_n,informative_pct,uncertainty_available_n,uncertainty_available_pct,floor_value,floor_status,floor_source,ceiling_value,ceiling_status,ceiling_source,degree_topology,eff_degree_mean,eff_degree_min,eff_degree_n_at_full,eff_degree_n_ge_half,d_informative_mean,d_informative_min,d_informative_n_at_full,d_informative_n_ge_half,materialized_in_m2,note
Phillips2021_CR9114,fluB,functional,single_task_control,True,65536,65536,65534,100.0,291,0.44,65243,99.55,0,0.0,2,0.0,164,0.25,65534,100.0,6.0,explicit,assay_detection,,not_reached,none,16,15.9995,15,65504,65536,0.04,0,0,29,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65536 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
Phillips2021_CR9114,h1,functional,single_task_control,True,65536,65536,65094,99.33,64658,98.66,436,0.67,0,0.0,442,0.67,62762,95.77,65094,99.33,7.0,explicit,assay_detection,,not_reached,none,16,15.8921,9,60580,65536,15.3228,2,50097,63448,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65536 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
Phillips2021_CR9114,h3,functional,single_task_control,True,65536,65536,65535,100.0,7408,11.3,58127,88.69,0,0.0,1,0.0,6344,9.68,65535,100.0,6.0,explicit,assay_detection,,not_reached,none,16,15.9998,15,65520,65536,1.5488,0,0,6082,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65536 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
Phillips2023_HA_CH65,G189E,functional,strict_multi_task,True,65536,65535,63840,97.41,54388,82.99,0,0.0,9452,14.42,1695,2.59,54147,82.62,63840,97.41,6.0,inferred,assay_detection,,not_reached,none,16,15.5859,8,48711,65535,13.2194,0,27645,55311,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65535 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
Phillips2023_HA_CH65,MA90,functional,strict_multi_task,True,65536,65535,65530,99.99,65530,99.99,0,0.0,0,0.0,5,0.01,65530,99.99,65530,99.99,,none,none,,not_reached,none,16,15.9985,15,65439,65535,15.9985,15,65439,65535,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65535 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
Phillips2023_HA_CH65,SI06,functional,strict_multi_task,True,65536,65535,64619,98.6,33095,50.5,0,0.0,31524,48.1,916,1.4,28507,43.5,64619,98.6,6.0,inferred,assay_detection,,not_reached,none,16,15.7761,10,54592,65535,6.9596,0,2169,28594,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65535 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
Phillips2023_HA_CH65,expression,auxiliary,strict_multi_task,True,65536,65536,65536,100.0,65536,100.0,0,0.0,0,0.0,0,0.0,65536,100.0,65536,100.0,,none,none,,not_reached,none,16,16.0,16,65536,65536,16.0,16,65536,65536,True,d_present(=eff_degree) 与 d_informative 均为主条件 default 上的**不同口径**（AMENDMENT-011 §3）；该任务共 1 个条件；扫描 65536 个已观测基因型，剔除 0 个含 X 的 dead 哨兵
TEM-1CML,AMP,functional,strict_multi_task,True,55296,331764,331764,100.0,331234,99.84,0,0.0,530,0.16,0,0.0,329206,99.23,331764,100.0,0.1760912591,inferred,transformation,,not_reached,none,18,17.999,17,55239,55293,17.1907,6,33029,55280,True,d_present(=eff_degree) 与 d_informative 均为主条件 781.0 上的**不同口径**（AMENDMENT-011 §3）；该任务共 6 个条件；扫描 55293 个已观测基因型，剔除 1 个含 X 的 dead 哨兵
TEM-1CML,AZT,functional,strict_multi_task,True,55296,442352,442352,100.0,442350,100.0,0,0.0,2,0.0,0,0.0,442311,99.99,442352,100.0,0.1760912591,inferred,transformation,,not_reached,none,18,17.999,17,55239,55293,17.9958,15,55064,55293,True,d_present(=eff_degree) 与 d_informative 均为主条件 36.0 上的**不同口径**（AMENDMENT-011 §3）；该任务共 8 个条件；扫描 55293 个已观测基因型，剔除 1 个含 X 的 dead 哨兵
DAOx_multi_substrate,(not materialized in M2),,task_panel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,task_panel：按 AMENDMENT-009 §5 只应输出 task coverage / measured / censored / informative / uncertainty 覆盖度；本阶段未 materialize -> deferred to M3
TEV_ProtRec,(not materialized in M2),,task_panel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,task_panel：按 AMENDMENT-009 §5 只应输出 task coverage / measured / censored / informative / uncertainty 覆盖度；本阶段未 materialize -> deferred to M3
