dataset_id,task_id,condition_id,wt_row,wt_genotype_id,dead_genotype_id,F_WT,F_dead,anchor_sep,noise_unit,anchor_resolvability,anchor_admissible,n_informative,q05,q50,q95,gmax
Phillips2021_CR9114,h1,default,all_zero,0000000000000000,,8.521056,,,0.084375,,,62762,8.0515,9.37,9.5702,9.8659
Phillips2023_HA_CH65,MA90,default,all_zero,0000000000000000,,8.551773,,,0.038057,,,65530,8.6269,9.4731,9.941,10.526
Phillips2023_HA_CH65,expression,default,all_zero,0000000000000000,,1.003743,,,0.02701,,,65536,0.9315,1.0004,1.0675,1.1543
TEM-1CML,AMP,0.0,all_dot,.............,XXXXXXXXXXXXX,3.305258,3.144736,0.160522,0.104178,1.5409,False,55294,2.9748,3.1318,3.2807,3.778
TEM-1CML,AMP,12.2,all_dot,.............,XXXXXXXXXXXXX,3.332327,1.755785,1.576542,0.11202,14.0737,True,55294,2.6939,3.1594,3.4323,3.9075
TEM-1CML,AMP,195.0,all_dot,.............,XXXXXXXXXXXXX,3.843543,0.663065,3.180478,0.156271,20.3523,True,55226,2.2744,2.6719,3.759,4.2707
TEM-1CML,AMP,3.1,all_dot,.............,XXXXXXXXXXXXX,3.302661,2.283756,1.018905,0.110562,9.2157,True,55294,2.9154,3.1807,3.3434,3.7792
TEM-1CML,AMP,48.8,all_dot,.............,XXXXXXXXXXXXX,3.641417,0.845641,2.795776,0.124145,22.5203,True,55288,2.5216,2.8634,3.5666,3.993
TEM-1CML,AMP,781.0,all_dot,.............,XXXXXXXXXXXXX,4.360055,0.73335,3.626705,0.306662,11.8264,True,52810,1.5562,2.2742,3.8929,4.5742
TEM-1CML,AZT,0.0,all_dot,.............,XXXXXXXXXXXXX,3.206299,3.222372,0.016073,0.110785,0.1451,False,55294,3.0127,3.18,3.334,3.8362
TEM-1CML,AZT,0.44,all_dot,.............,XXXXXXXXXXXXX,2.966409,2.097125,0.869283,0.140307,6.1956,True,55292,2.4967,2.7866,3.7642,4.1051
TEM-1CML,AZT,1.33,all_dot,.............,XXXXXXXXXXXXX,2.790716,2.055329,0.735388,0.139066,5.288,True,55291,2.4115,2.7116,3.8949,4.3388
TEM-1CML,AZT,108.0,all_dot,.............,XXXXXXXXXXXXX,2.094435,2.031594,0.06284,0.178397,0.3523,False,55289,1.9327,2.146,2.4537,5.4991
TEM-1CML,AZT,12.0,all_dot,.............,XXXXXXXXXXXXX,2.393637,2.058811,0.334825,0.222409,1.5054,False,55285,2.1423,2.4924,3.2949,4.7607
TEM-1CML,AZT,324.0,all_dot,.............,XXXXXXXXXXXXX,1.944043,1.857585,0.086458,0.12969,0.6667,False,55291,1.8423,2.0226,2.2175,5.6979
TEM-1CML,AZT,36.0,all_dot,.............,XXXXXXXXXXXXX,2.21127,2.009686,0.201584,0.242401,0.8316,False,55284,1.9954,2.2943,2.964,5.1297
TEM-1CML,AZT,4.0,all_dot,.............,XXXXXXXXXXXXX,2.433078,2.065443,0.367635,0.187904,1.9565,False,55285,2.2762,2.6146,3.8678,4.4809
