dataset_id,task_id,condition_id,n,F_WT,F_dead,frac_u_gt_1,sat_random_B24,sat_random_B96,sat_random_B384,saturated_any
Phillips2021_CR9114,fluB,default,164,,,,,,,
Phillips2021_CR9114,h1,default,62762,,,,,,,
Phillips2021_CR9114,h3,default,6344,,,,,,,
Phillips2023_HA_CH65,G189E,default,54147,,,,,,,
Phillips2023_HA_CH65,MA90,default,65530,,,,,,,
Phillips2023_HA_CH65,SI06,default,28507,,,,,,,
Phillips2023_HA_CH65,expression,default,65536,,,,,,,
TEM-1CML,AMP,0.0,55294,3.3053,3.1447,0.03011,0.51991,0.94688,0.99999,True
TEM-1CML,AMP,12.2,55294,3.3323,1.7558,0.22487,0.99779,1.0,1.0,True
TEM-1CML,AMP,195.0,55226,3.8435,0.6631,0.01141,0.2407,0.6676,0.98779,True
TEM-1CML,AMP,3.1,55294,3.3027,2.2838,0.10826,0.93606,0.99998,1.0,True
TEM-1CML,AMP,48.8,55288,3.6414,0.8456,0.01024,0.21883,0.62762,0.98077,True
TEM-1CML,AMP,781.0,52810,4.3601,0.7333,0.00352,0.08119,0.28731,0.74202,False
TEM-1CML,AZT,0.0,55294,3.2063,3.2224,0.61357,1.0,1.0,1.0,True
TEM-1CML,AZT,0.44,55292,2.9664,2.0971,0.27803,0.9996,1.0,1.0,True
TEM-1CML,AZT,1.33,55291,2.7907,2.0553,0.36149,0.99998,1.0,1.0,True
TEM-1CML,AZT,108.0,55289,2.0944,2.0316,0.66152,1.0,1.0,1.0,True
TEM-1CML,AZT,12.0,55285,2.3936,2.0588,0.67299,1.0,1.0,1.0,True
TEM-1CML,AZT,324.0,55291,1.944,1.8576,0.76951,1.0,1.0,1.0,True
TEM-1CML,AZT,36.0,55284,2.2113,2.0097,0.66509,1.0,1.0,1.0,True
TEM-1CML,AZT,4.0,55285,2.4331,2.0654,0.81787,1.0,1.0,1.0,True
