future,scale,policy,budget,selector,NR
AZT@0.44,empirical_quantile,random,24,random,0.5263
AZT@0.44,empirical_quantile,random,24,current_fitness,0.2265
AZT@0.44,empirical_quantile,random,24,known_family_mean,0.6723
AZT@0.44,empirical_quantile,random,24,known_family_worst,0.6723
AZT@0.44,empirical_quantile,random,24,local_robustness,0.275
AZT@0.44,empirical_quantile,random,24,neighbor_informative_frac,0.2013
AZT@0.44,empirical_quantile,random,24,dist_to_best,0.3382
AZT@0.44,empirical_quantile,random,24,n_better_neighbors,0.197
AZT@0.44,empirical_quantile,random,24,local_ruggedness,0.197
AZT@0.44,empirical_quantile,random,24,proxy_eov_today,1.0295
AZT@0.44,empirical_quantile,random,24,oracle,0.0
AZT@0.44,empirical_quantile,random,96,random,0.5263
AZT@0.44,empirical_quantile,random,96,current_fitness,0.7386
AZT@0.44,empirical_quantile,random,96,known_family_mean,0.7239
AZT@0.44,empirical_quantile,random,96,known_family_worst,0.7239
AZT@0.44,empirical_quantile,random,96,local_robustness,0.5669
AZT@0.44,empirical_quantile,random,96,neighbor_informative_frac,0.8408
AZT@0.44,empirical_quantile,random,96,dist_to_best,0.8145
AZT@0.44,empirical_quantile,random,96,n_better_neighbors,0.4815
AZT@0.44,empirical_quantile,random,96,local_ruggedness,0.4815
AZT@0.44,empirical_quantile,random,96,proxy_eov_today,0.7913
AZT@0.44,empirical_quantile,random,96,oracle,0.0
AZT@0.44,empirical_quantile,random,384,random,0.5263
AZT@0.44,empirical_quantile,random,384,current_fitness,0.746
AZT@0.44,empirical_quantile,random,384,known_family_mean,0.6723
AZT@0.44,empirical_quantile,random,384,known_family_worst,0.6723
AZT@0.44,empirical_quantile,random,384,local_robustness,0.2919
AZT@0.44,empirical_quantile,random,384,neighbor_informative_frac,0.5837
AZT@0.44,empirical_quantile,random,384,dist_to_best,0.5363
AZT@0.44,empirical_quantile,random,384,n_better_neighbors,0.0685
AZT@0.44,empirical_quantile,random,384,local_ruggedness,0.0685
AZT@0.44,empirical_quantile,random,384,proxy_eov_today,0.687
AZT@0.44,empirical_quantile,random,384,oracle,0.0
AZT@0.44,empirical_quantile,greedy_ssm,24,random,0.5263
AZT@0.44,empirical_quantile,greedy_ssm,24,current_fitness,0.0537
AZT@0.44,empirical_quantile,greedy_ssm,24,known_family_mean,0.2065
AZT@0.44,empirical_quantile,greedy_ssm,24,known_family_worst,0.2065
AZT@0.44,empirical_quantile,greedy_ssm,24,local_robustness,0.0548
AZT@0.44,empirical_quantile,greedy_ssm,24,neighbor_informative_frac,0.7186
AZT@0.44,empirical_quantile,greedy_ssm,24,dist_to_best,0.4162
AZT@0.44,empirical_quantile,greedy_ssm,24,n_better_neighbors,0.6111
AZT@0.44,empirical_quantile,greedy_ssm,24,local_ruggedness,0.6111
AZT@0.44,empirical_quantile,greedy_ssm,24,proxy_eov_today,0.4162
AZT@0.44,empirical_quantile,greedy_ssm,24,oracle,0.0
AZT@0.44,empirical_quantile,greedy_ssm,96,random,0.5263
AZT@0.44,empirical_quantile,greedy_ssm,96,current_fitness,0.1243
AZT@0.44,empirical_quantile,greedy_ssm,96,known_family_mean,0.2929
AZT@0.44,empirical_quantile,greedy_ssm,96,known_family_worst,0.2929
AZT@0.44,empirical_quantile,greedy_ssm,96,local_robustness,0.1623
AZT@0.44,empirical_quantile,greedy_ssm,96,neighbor_informative_frac,0.6533
AZT@0.44,empirical_quantile,greedy_ssm,96,dist_to_best,0.6522
AZT@0.44,empirical_quantile,greedy_ssm,96,n_better_neighbors,0.4663
AZT@0.44,empirical_quantile,greedy_ssm,96,local_ruggedness,0.4663
AZT@0.44,empirical_quantile,greedy_ssm,96,proxy_eov_today,0.6522
AZT@0.44,empirical_quantile,greedy_ssm,96,oracle,0.0
AZT@0.44,empirical_quantile,greedy_ssm,384,random,0.5263
AZT@0.44,empirical_quantile,greedy_ssm,384,current_fitness,0.1317
AZT@0.44,empirical_quantile,greedy_ssm,384,known_family_mean,0.3467
AZT@0.44,empirical_quantile,greedy_ssm,384,known_family_worst,0.3467
AZT@0.44,empirical_quantile,greedy_ssm,384,local_robustness,0.1928
AZT@0.44,empirical_quantile,greedy_ssm,384,neighbor_informative_frac,0.7228
AZT@0.44,empirical_quantile,greedy_ssm,384,dist_to_best,0.7218
AZT@0.44,empirical_quantile,greedy_ssm,384,n_better_neighbors,0.5379
AZT@0.44,empirical_quantile,greedy_ssm,384,local_ruggedness,0.5379
AZT@0.44,empirical_quantile,greedy_ssm,384,proxy_eov_today,0.7218
AZT@0.44,empirical_quantile,greedy_ssm,384,oracle,0.0
AZT@0.44,empirical_quantile,mlde_ridge,24,random,0.5263
AZT@0.44,empirical_quantile,mlde_ridge,24,current_fitness,0.137
AZT@0.44,empirical_quantile,mlde_ridge,24,known_family_mean,0.177
AZT@0.44,empirical_quantile,mlde_ridge,24,known_family_worst,0.177
AZT@0.44,empirical_quantile,mlde_ridge,24,local_robustness,0.6807
AZT@0.44,empirical_quantile,mlde_ridge,24,neighbor_informative_frac,0.1054
AZT@0.44,empirical_quantile,mlde_ridge,24,dist_to_best,0.8893
AZT@0.44,empirical_quantile,mlde_ridge,24,n_better_neighbors,0.8261
AZT@0.44,empirical_quantile,mlde_ridge,24,local_ruggedness,0.8261
AZT@0.44,empirical_quantile,mlde_ridge,24,proxy_eov_today,0.0748
AZT@0.44,empirical_quantile,mlde_ridge,24,oracle,0.0
AZT@0.44,empirical_quantile,mlde_ridge,96,random,0.5263
AZT@0.44,empirical_quantile,mlde_ridge,96,current_fitness,0.6649
AZT@0.44,empirical_quantile,mlde_ridge,96,known_family_mean,1.0347
AZT@0.44,empirical_quantile,mlde_ridge,96,known_family_worst,1.0347
AZT@0.44,empirical_quantile,mlde_ridge,96,local_robustness,0.6048
AZT@0.44,empirical_quantile,mlde_ridge,96,neighbor_informative_frac,0.9083
AZT@0.44,empirical_quantile,mlde_ridge,96,dist_to_best,0.6164
AZT@0.44,empirical_quantile,mlde_ridge,96,n_better_neighbors,0.4225
AZT@0.44,empirical_quantile,mlde_ridge,96,local_ruggedness,0.4225
AZT@0.44,empirical_quantile,mlde_ridge,96,proxy_eov_today,0.4636
AZT@0.44,empirical_quantile,mlde_ridge,96,oracle,0.0
AZT@0.44,empirical_quantile,mlde_ridge,384,random,0.5263
AZT@0.44,empirical_quantile,mlde_ridge,384,current_fitness,1.0347
AZT@0.44,empirical_quantile,mlde_ridge,384,known_family_mean,0.4204
AZT@0.44,empirical_quantile,mlde_ridge,384,known_family_worst,0.4204
AZT@0.44,empirical_quantile,mlde_ridge,384,local_robustness,0.6164
AZT@0.44,empirical_quantile,mlde_ridge,384,neighbor_informative_frac,0.8008
AZT@0.44,empirical_quantile,mlde_ridge,384,dist_to_best,0.5737
AZT@0.44,empirical_quantile,mlde_ridge,384,n_better_neighbors,0.3488
AZT@0.44,empirical_quantile,mlde_ridge,384,local_ruggedness,0.3488
AZT@0.44,empirical_quantile,mlde_ridge,384,proxy_eov_today,0.6881
AZT@0.44,empirical_quantile,mlde_ridge,384,oracle,0.0
