holdout,policy,budget,selector,NR
AMP@0.0,random,24,current_fitness,0.7431
AMP@0.0,random,24,known_family_mean,0.7431
AMP@0.0,random,24,known_family_worst,0.7623
AMP@0.0,random,24,local_robustness,1.0204
AMP@0.0,random,24,neighbor_informative_frac,0.656
AMP@0.0,random,24,dist_to_best,1.0323
AMP@0.0,random,24,n_better_neighbors,0.9902
AMP@0.0,random,24,local_ruggedness,0.9902
AMP@0.0,random,24,proxy_eov_today,0.8315
AMP@0.0,random,96,current_fitness,0.8382
AMP@0.0,random,96,known_family_mean,0.8382
AMP@0.0,random,96,known_family_worst,0.6624
AMP@0.0,random,96,local_robustness,0.8227
AMP@0.0,random,96,neighbor_informative_frac,0.8414
AMP@0.0,random,96,dist_to_best,0.941
AMP@0.0,random,96,n_better_neighbors,0.7006
AMP@0.0,random,96,local_ruggedness,0.7006
AMP@0.0,random,96,proxy_eov_today,0.5831
AMP@0.0,random,384,current_fitness,0.993
AMP@0.0,random,384,known_family_mean,0.993
AMP@0.0,random,384,known_family_worst,0.7695
AMP@0.0,random,384,local_robustness,0.641
AMP@0.0,random,384,neighbor_informative_frac,0.8062
AMP@0.0,random,384,dist_to_best,0.8978
AMP@0.0,random,384,n_better_neighbors,0.7184
AMP@0.0,random,384,local_ruggedness,0.7184
AMP@0.0,random,384,proxy_eov_today,0.7398
AMP@0.0,greedy_ssm,24,current_fitness,0.8824
AMP@0.0,greedy_ssm,24,known_family_mean,0.8824
AMP@0.0,greedy_ssm,24,known_family_worst,0.8456
AMP@0.0,greedy_ssm,24,local_robustness,0.9586
AMP@0.0,greedy_ssm,24,neighbor_informative_frac,0.9054
AMP@0.0,greedy_ssm,24,dist_to_best,0.7283
AMP@0.0,greedy_ssm,24,n_better_neighbors,0.9588
AMP@0.0,greedy_ssm,24,local_ruggedness,0.9588
AMP@0.0,greedy_ssm,24,proxy_eov_today,0.9132
AMP@0.0,greedy_ssm,96,current_fitness,0.8362
AMP@0.0,greedy_ssm,96,known_family_mean,0.8362
AMP@0.0,greedy_ssm,96,known_family_worst,1.0207
AMP@0.0,greedy_ssm,96,local_robustness,1.0391
AMP@0.0,greedy_ssm,96,neighbor_informative_frac,0.9814
AMP@0.0,greedy_ssm,96,dist_to_best,0.7894
AMP@0.0,greedy_ssm,96,n_better_neighbors,0.8561
AMP@0.0,greedy_ssm,96,local_ruggedness,0.8561
AMP@0.0,greedy_ssm,96,proxy_eov_today,0.8752
AMP@0.0,greedy_ssm,384,current_fitness,0.859
AMP@0.0,greedy_ssm,384,known_family_mean,0.859
AMP@0.0,greedy_ssm,384,known_family_worst,0.7493
AMP@0.0,greedy_ssm,384,local_robustness,1.0674
AMP@0.0,greedy_ssm,384,neighbor_informative_frac,0.8672
AMP@0.0,greedy_ssm,384,dist_to_best,0.811
AMP@0.0,greedy_ssm,384,n_better_neighbors,0.63
AMP@0.0,greedy_ssm,384,local_ruggedness,0.63
AMP@0.0,greedy_ssm,384,proxy_eov_today,0.8187
AMP@0.0,mlde_ridge,24,current_fitness,0.8387
AMP@0.0,mlde_ridge,24,known_family_mean,0.8387
AMP@0.0,mlde_ridge,24,known_family_worst,0.898
AMP@0.0,mlde_ridge,24,local_robustness,0.795
AMP@0.0,mlde_ridge,24,neighbor_informative_frac,0.861
AMP@0.0,mlde_ridge,24,dist_to_best,0.8153
AMP@0.0,mlde_ridge,24,n_better_neighbors,0.7057
AMP@0.0,mlde_ridge,24,local_ruggedness,0.7057
AMP@0.0,mlde_ridge,24,proxy_eov_today,0.957
AMP@0.0,mlde_ridge,96,current_fitness,0.8975
AMP@0.0,mlde_ridge,96,known_family_mean,0.8975
AMP@0.0,mlde_ridge,96,known_family_worst,0.7491
AMP@0.0,mlde_ridge,96,local_robustness,0.7977
AMP@0.0,mlde_ridge,96,neighbor_informative_frac,0.7899
AMP@0.0,mlde_ridge,96,dist_to_best,0.9239
AMP@0.0,mlde_ridge,96,n_better_neighbors,0.7117
AMP@0.0,mlde_ridge,96,local_ruggedness,0.7117
AMP@0.0,mlde_ridge,96,proxy_eov_today,0.8653
AMP@0.0,mlde_ridge,384,current_fitness,0.8734
AMP@0.0,mlde_ridge,384,known_family_mean,0.8734
AMP@0.0,mlde_ridge,384,known_family_worst,0.9516
AMP@0.0,mlde_ridge,384,local_robustness,0.3094
AMP@0.0,mlde_ridge,384,neighbor_informative_frac,0.7999
AMP@0.0,mlde_ridge,384,dist_to_best,0.982
AMP@0.0,mlde_ridge,384,n_better_neighbors,0.8057
AMP@0.0,mlde_ridge,384,local_ruggedness,0.8057
AMP@0.0,mlde_ridge,384,proxy_eov_today,0.7097
AMP@3.1,random,24,current_fitness,0.8046
AMP@3.1,random,24,known_family_mean,0.867
AMP@3.1,random,24,known_family_worst,0.7928
AMP@3.1,random,24,local_robustness,0.9133
AMP@3.1,random,24,neighbor_informative_frac,0.8654
AMP@3.1,random,24,dist_to_best,0.8449
AMP@3.1,random,24,n_better_neighbors,0.8848
AMP@3.1,random,24,local_ruggedness,0.8848
AMP@3.1,random,24,proxy_eov_today,0.8799
AMP@3.1,random,96,current_fitness,0.6935
AMP@3.1,random,96,known_family_mean,0.8679
AMP@3.1,random,96,known_family_worst,0.9621
AMP@3.1,random,96,local_robustness,0.7071
AMP@3.1,random,96,neighbor_informative_frac,0.9429
AMP@3.1,random,96,dist_to_best,0.8388
AMP@3.1,random,96,n_better_neighbors,0.8214
AMP@3.1,random,96,local_ruggedness,0.8214
AMP@3.1,random,96,proxy_eov_today,0.9399
AMP@3.1,random,384,current_fitness,0.9202
AMP@3.1,random,384,known_family_mean,0.8462
AMP@3.1,random,384,known_family_worst,0.4693
AMP@3.1,random,384,local_robustness,0.4623
AMP@3.1,random,384,neighbor_informative_frac,0.7084
AMP@3.1,random,384,dist_to_best,0.612
AMP@3.1,random,384,n_better_neighbors,0.6853
AMP@3.1,random,384,local_ruggedness,0.6853
AMP@3.1,random,384,proxy_eov_today,0.863
AMP@3.1,greedy_ssm,24,current_fitness,0.8048
AMP@3.1,greedy_ssm,24,known_family_mean,0.7969
AMP@3.1,greedy_ssm,24,known_family_worst,0.7045
AMP@3.1,greedy_ssm,24,local_robustness,0.8559
AMP@3.1,greedy_ssm,24,neighbor_informative_frac,0.8851
AMP@3.1,greedy_ssm,24,dist_to_best,0.5672
AMP@3.1,greedy_ssm,24,n_better_neighbors,0.8917
AMP@3.1,greedy_ssm,24,local_ruggedness,0.8917
AMP@3.1,greedy_ssm,24,proxy_eov_today,0.8196
AMP@3.1,greedy_ssm,96,current_fitness,0.6805
AMP@3.1,greedy_ssm,96,known_family_mean,0.7962
AMP@3.1,greedy_ssm,96,known_family_worst,0.6685
AMP@3.1,greedy_ssm,96,local_robustness,0.853
AMP@3.1,greedy_ssm,96,neighbor_informative_frac,0.8488
AMP@3.1,greedy_ssm,96,dist_to_best,0.638
AMP@3.1,greedy_ssm,96,n_better_neighbors,0.8099
AMP@3.1,greedy_ssm,96,local_ruggedness,0.8099
AMP@3.1,greedy_ssm,96,proxy_eov_today,0.8512
AMP@3.1,greedy_ssm,384,current_fitness,0.7446
AMP@3.1,greedy_ssm,384,known_family_mean,0.6653
AMP@3.1,greedy_ssm,384,known_family_worst,0.7863
AMP@3.1,greedy_ssm,384,local_robustness,0.6062
AMP@3.1,greedy_ssm,384,neighbor_informative_frac,0.6242
AMP@3.1,greedy_ssm,384,dist_to_best,0.633
AMP@3.1,greedy_ssm,384,n_better_neighbors,0.8306
AMP@3.1,greedy_ssm,384,local_ruggedness,0.8306
AMP@3.1,greedy_ssm,384,proxy_eov_today,0.7378
AMP@3.1,mlde_ridge,24,current_fitness,0.7286
AMP@3.1,mlde_ridge,24,known_family_mean,0.7791
AMP@3.1,mlde_ridge,24,known_family_worst,0.9425
AMP@3.1,mlde_ridge,24,local_robustness,0.618
