future,role,policy,budget,frozen_selector,opponent,NR_frozen,NR_opponent,NR_opp_minus_frozen,reduction_pct,CI_lo,CI_hi,CI_excludes_0,beats_frozen_by_20pct_and_CI
AZT@0.44,primary,random,24,current_fitness,current_fitness,0.5077,0.5077,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,random,24,current_fitness,known_family_mean,0.5077,0.7034,0.1958,27.83,-0.4092,0.4091,False,False
AZT@0.44,primary,random,24,current_fitness,known_family_worst,0.5077,0.7034,0.1958,27.83,-0.414,0.5608,False,False
AZT@0.44,primary,random,24,current_fitness,local_robustness,0.5077,0.5375,0.0298,5.55,-0.5762,0.1985,False,False
AZT@0.44,primary,random,24,current_fitness,neighbor_informative_frac,0.5077,0.4969,-0.0108,-2.17,-0.5522,0.5786,False,False
AZT@0.44,primary,random,24,current_fitness,dist_to_best,0.5077,0.5619,0.0543,9.66,-0.553,0.5168,False,False
AZT@0.44,primary,random,24,current_fitness,n_better_neighbors,0.5077,0.4954,-0.0122,-2.46,-0.5777,0.5736,False,False
AZT@0.44,primary,random,24,current_fitness,local_ruggedness,0.5077,0.4954,-0.0122,-2.46,-0.5941,0.5836,False,False
AZT@0.44,primary,random,24,current_fitness,proxy_eov_today,0.5077,1.1267,0.6191,54.94,-0.4267,0.6823,False,False
AZT@0.44,primary,random,24,current_fitness,random,0.5077,0.6551,0.1475,22.51,-0.4609,0.1839,False,False
AZT@0.44,primary,random,96,current_fitness,current_fitness,0.8811,0.8811,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,random,96,current_fitness,known_family_mean,0.8811,0.8763,-0.0048,-0.55,-0.2439,0.0,False,False
AZT@0.44,primary,random,96,current_fitness,known_family_worst,0.8811,0.8763,-0.0048,-0.55,-0.2089,0.09,False,False
AZT@0.44,primary,random,96,current_fitness,local_robustness,0.8811,0.8267,-0.0544,-6.58,-0.4218,0.0239,False,False
AZT@0.44,primary,random,96,current_fitness,neighbor_informative_frac,0.8811,0.9169,0.0358,3.9,-0.5261,0.1451,False,False
AZT@0.44,primary,random,96,current_fitness,dist_to_best,0.8811,0.9068,0.0257,2.83,-0.1296,0.0652,False,False
AZT@0.44,primary,random,96,current_fitness,n_better_neighbors,0.8811,0.7972,-0.0839,-10.52,-0.6374,0.1421,False,False
AZT@0.44,primary,random,96,current_fitness,local_ruggedness,0.8811,0.7972,-0.0839,-10.52,-0.6361,0.1305,False,False
AZT@0.44,primary,random,96,current_fitness,proxy_eov_today,0.8811,0.8974,0.0164,1.82,-0.3212,0.1328,False,False
AZT@0.44,primary,random,96,current_fitness,random,0.8811,0.7899,-0.0911,-11.54,-0.2614,-0.0835,True,False
AZT@0.44,primary,random,384,current_fitness,current_fitness,0.907,0.907,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,random,384,current_fitness,known_family_mean,0.907,0.8858,-0.0212,-2.4,-0.0754,0.2986,False,False
AZT@0.44,primary,random,384,current_fitness,known_family_worst,0.907,0.8858,-0.0212,-2.4,-0.2148,0.2972,False,False
AZT@0.44,primary,random,384,current_fitness,local_robustness,0.907,0.7692,-0.1378,-17.92,-0.1903,0.2871,False,False
AZT@0.44,primary,random,384,current_fitness,neighbor_informative_frac,0.907,0.8629,-0.0441,-5.12,-0.4692,0.3112,False,False
AZT@0.44,primary,random,384,current_fitness,dist_to_best,0.907,0.8502,-0.0568,-6.69,-0.1106,0.2601,False,False
AZT@0.44,primary,random,384,current_fitness,n_better_neighbors,0.907,0.6161,-0.2909,-47.22,-0.331,0.287,False,False
AZT@0.44,primary,random,384,current_fitness,local_ruggedness,0.907,0.6161,-0.2909,-47.22,-0.3364,0.2734,False,False
AZT@0.44,primary,random,384,current_fitness,proxy_eov_today,0.907,0.8906,-0.0164,-1.84,-0.3605,0.2557,False,False
AZT@0.44,primary,random,384,current_fitness,random,0.907,0.8232,-0.0838,-10.18,-0.1271,0.2274,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,current_fitness,0.1707,0.1707,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,known_family_mean,0.1707,0.2259,0.0551,24.41,-0.0389,0.0594,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,known_family_worst,0.1707,0.2259,0.0551,24.41,-0.0387,0.1763,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,local_robustness,0.1707,0.1711,0.0004,0.24,-0.094,0.0911,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,neighbor_informative_frac,0.1707,0.5314,0.3607,67.88,-0.0841,0.8615,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,dist_to_best,0.1707,0.27,0.0993,36.76,-0.0392,0.1067,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,n_better_neighbors,0.1707,0.3517,0.181,51.46,-0.0315,0.8821,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,local_ruggedness,0.1707,0.3517,0.181,51.46,-0.0328,0.8729,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,proxy_eov_today,0.1707,0.27,0.0993,36.76,-0.0326,0.1065,False,False
AZT@0.44,primary,greedy_ssm,24,current_fitness,random,0.1707,0.4463,0.2756,61.75,0.1766,0.3003,True,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,current_fitness,0.2344,0.2344,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,known_family_mean,0.2344,0.2876,0.0531,18.47,-0.0417,0.0579,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,known_family_worst,0.2344,0.2876,0.0531,18.47,-0.1903,0.0692,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,local_robustness,0.2344,0.251,0.0165,6.58,-0.0857,0.0831,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,neighbor_informative_frac,0.2344,0.3784,0.1439,38.04,-0.1446,0.9158,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,dist_to_best,0.2344,0.3784,0.1439,38.04,-0.0745,0.1552,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,n_better_neighbors,0.2344,0.3257,0.0912,28.01,-0.0788,0.9274,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,local_ruggedness,0.2344,0.3257,0.0912,28.01,-0.0787,1.0455,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,proxy_eov_today,0.2344,0.3784,0.1439,38.04,-0.1262,0.1544,False,False
AZT@0.44,primary,greedy_ssm,96,current_fitness,random,0.2344,0.4283,0.1939,45.26,0.096,0.2102,True,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,current_fitness,0.2313,0.2313,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,known_family_mean,0.2313,0.2986,0.0673,22.55,-0.0424,0.076,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,known_family_worst,0.2313,0.2986,0.0673,22.55,-0.1942,0.0833,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,local_robustness,0.2313,0.2606,0.0293,11.25,-0.0876,0.1524,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,neighbor_informative_frac,0.2313,0.3929,0.1616,41.14,-0.1649,0.8949,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,dist_to_best,0.2313,0.3929,0.1616,41.13,-0.1723,0.1718,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,n_better_neighbors,0.2313,0.3382,0.1069,31.61,-0.0798,1.0795,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,local_ruggedness,0.2313,0.3382,0.1069,31.61,-0.082,1.0735,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,proxy_eov_today,0.2313,0.3929,0.1616,41.13,-0.1138,0.8259,False,False
AZT@0.44,primary,greedy_ssm,384,current_fitness,random,0.2313,0.4173,0.1861,44.59,0.0713,0.1999,True,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,current_fitness,0.4116,0.4116,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,known_family_mean,0.4116,0.4377,0.0261,5.96,-0.1049,0.0823,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,known_family_worst,0.4116,0.4377,0.0261,5.96,-0.2479,0.0992,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,local_robustness,0.4116,0.5924,0.1808,30.52,-0.0821,0.2109,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,neighbor_informative_frac,0.4116,0.3818,-0.0298,-7.8,-0.2045,0.6997,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,dist_to_best,0.4116,0.6997,0.2881,41.17,-0.0322,0.3187,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,n_better_neighbors,0.4116,0.6566,0.245,37.31,-0.2244,0.5589,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,local_ruggedness,0.4116,0.6566,0.245,37.31,-0.2282,0.5016,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,proxy_eov_today,0.4116,0.3572,-0.0544,-15.24,-0.2105,0.4246,False,False
AZT@0.44,primary,mlde_ridge,24,current_fitness,random,0.4116,0.5775,0.1658,28.72,0.0349,0.1841,True,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,current_fitness,0.8408,0.8408,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,known_family_mean,0.8408,1.0472,0.2064,19.71,-0.1479,0.6748,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,known_family_worst,0.8408,1.0472,0.2064,19.71,-0.3465,0.7117,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,local_robustness,0.8408,0.8118,-0.0289,-3.56,-0.1073,0.393,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,neighbor_informative_frac,0.8408,0.9387,0.0979,10.43,-0.4389,0.4895,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,dist_to_best,0.8408,0.8177,-0.0231,-2.83,-0.2204,0.4914,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,n_better_neighbors,0.8408,0.7471,-0.0937,-12.54,-0.3553,0.5232,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,local_ruggedness,0.8408,0.7471,-0.0937,-12.54,-0.3326,0.5179,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,proxy_eov_today,0.8408,0.7632,-0.0776,-10.17,-0.2319,0.3132,False,False
AZT@0.44,primary,mlde_ridge,96,current_fitness,random,0.8408,0.7689,-0.0719,-9.35,-0.1095,0.3216,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,current_fitness,1.0631,1.0631,0.0,0.0,0.0,0.0,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,known_family_mean,1.0631,0.7082,-0.355,-50.13,-0.3693,0.0852,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,known_family_worst,1.0631,0.7082,-0.355,-50.13,-0.3696,0.1584,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,local_robustness,1.0631,0.7723,-0.2908,-37.65,-0.5001,0.1645,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,neighbor_informative_frac,1.0631,0.8404,-0.2228,-26.51,-0.6203,0.2961,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,dist_to_best,1.0631,0.7459,-0.3172,-42.53,-0.525,0.221,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,n_better_neighbors,1.0631,0.6617,-0.4014,-60.66,-0.5748,0.1948,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,local_ruggedness,1.0631,0.6617,-0.4014,-60.66,-0.5746,0.2132,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,proxy_eov_today,1.0631,0.7992,-0.2639,-33.02,-0.4851,0.1493,False,False
AZT@0.44,primary,mlde_ridge,384,current_fitness,random,1.0631,0.7368,-0.3263,-44.29,-0.3456,0.0901,False,False
AZT@36.0,replication,random,24,current_fitness,current_fitness,0.7353,0.7353,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,random,24,current_fitness,known_family_mean,0.7353,0.3404,-0.3949,-115.99,-0.7231,0.0,False,False
AZT@36.0,replication,random,24,current_fitness,known_family_worst,0.7353,0.3404,-0.3949,-115.99,-0.7232,0.2213,False,False
AZT@36.0,replication,random,24,current_fitness,local_robustness,0.7353,0.2124,-0.5229,-246.18,-0.8619,0.023,False,False
AZT@36.0,replication,random,24,current_fitness,neighbor_informative_frac,0.7353,0.5802,-0.1551,-26.74,-0.6453,0.3023,False,False
AZT@36.0,replication,random,24,current_fitness,dist_to_best,0.7353,0.7492,0.0139,1.86,-0.6166,0.0343,False,False
AZT@36.0,replication,random,24,current_fitness,n_better_neighbors,0.7353,1.0483,0.313,29.86,-0.5895,0.312,False,False
AZT@36.0,replication,random,24,current_fitness,local_ruggedness,0.7353,1.0483,0.313,29.86,-0.5859,0.3115,False,False
AZT@36.0,replication,random,24,current_fitness,proxy_eov_today,0.7353,0.5781,-0.1572,-27.19,-0.4724,0.0,False,False
AZT@36.0,replication,random,24,current_fitness,random,0.7353,0.6768,-0.0585,-8.65,-0.3617,-0.0446,True,False
AZT@36.0,replication,random,96,current_fitness,current_fitness,0.631,0.631,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,random,96,current_fitness,known_family_mean,0.631,0.3961,-0.2349,-59.3,-0.5745,0.429,False,False
AZT@36.0,replication,random,96,current_fitness,known_family_worst,0.631,0.3961,-0.2349,-59.3,-0.6337,-0.028,True,False
AZT@36.0,replication,random,96,current_fitness,local_robustness,0.631,0.2838,-0.3472,-122.36,-0.6791,0.0125,False,False
AZT@36.0,replication,random,96,current_fitness,neighbor_informative_frac,0.631,0.8522,0.2211,25.95,-0.6202,0.5369,False,False
AZT@36.0,replication,random,96,current_fitness,dist_to_best,0.631,0.5589,-0.0721,-12.9,-0.4622,0.245,False,False
AZT@36.0,replication,random,96,current_fitness,n_better_neighbors,0.631,0.8865,0.2554,28.81,-0.6773,0.3637,False,False
AZT@36.0,replication,random,96,current_fitness,local_ruggedness,0.631,0.8865,0.2554,28.81,-0.6605,0.3652,False,False
AZT@36.0,replication,random,96,current_fitness,proxy_eov_today,0.631,0.6712,0.0401,5.98,-0.292,0.1949,False,False
AZT@36.0,replication,random,96,current_fitness,random,0.631,0.5655,-0.0655,-11.58,-0.4036,0.0503,False,False
AZT@36.0,replication,random,384,current_fitness,current_fitness,0.593,0.593,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,random,384,current_fitness,known_family_mean,0.593,0.6316,0.0386,6.11,-0.2718,0.611,False,False
AZT@36.0,replication,random,384,current_fitness,known_family_worst,0.593,0.6316,0.0386,6.11,-0.3091,0.2008,False,False
AZT@36.0,replication,random,384,current_fitness,local_robustness,0.593,0.8037,0.2107,26.21,-0.1815,0.2214,False,False
AZT@36.0,replication,random,384,current_fitness,neighbor_informative_frac,0.593,0.5135,-0.0795,-15.49,-0.3358,0.501,False,False
AZT@36.0,replication,random,384,current_fitness,dist_to_best,0.593,0.6496,0.0566,8.72,-0.2812,0.1863,False,False
AZT@36.0,replication,random,384,current_fitness,n_better_neighbors,0.593,0.576,-0.017,-2.95,-0.2705,0.4146,False,False
AZT@36.0,replication,random,384,current_fitness,local_ruggedness,0.593,0.576,-0.017,-2.95,-0.2797,0.5219,False,False
AZT@36.0,replication,random,384,current_fitness,proxy_eov_today,0.593,0.6958,0.1028,14.77,-0.3321,0.3432,False,False
AZT@36.0,replication,random,384,current_fitness,random,0.593,0.6649,0.0719,10.81,-0.2658,0.0839,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,current_fitness,0.1032,0.1032,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,known_family_mean,0.1032,0.5301,0.4269,80.53,-0.239,0.522,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,known_family_worst,0.1032,0.5301,0.4269,80.53,-0.5193,0.7308,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,local_robustness,0.1032,0.0744,-0.0288,-38.68,-0.7018,0.5196,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,neighbor_informative_frac,0.1032,0.7473,0.6442,86.19,-0.6617,0.9143,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,dist_to_best,0.1032,0.0518,-0.0514,-99.36,-0.716,-0.0088,True,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,n_better_neighbors,0.1032,0.8323,0.7291,87.6,-0.215,0.9155,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,local_ruggedness,0.1032,0.8323,0.7291,87.6,-0.1909,0.9147,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,proxy_eov_today,0.1032,0.0518,-0.0514,-99.36,-0.7165,0.7832,False,False
AZT@36.0,replication,greedy_ssm,24,current_fitness,random,0.1032,0.7242,0.621,85.75,-0.0502,0.6504,False,False
AZT@36.0,replication,greedy_ssm,96,current_fitness,current_fitness,0.1329,0.1329,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,greedy_ssm,96,current_fitness,known_family_mean,0.1329,0.1705,0.0376,22.05,-0.5125,0.0764,False,False
AZT@36.0,replication,greedy_ssm,96,current_fitness,known_family_worst,0.1329,0.1705,0.0376,22.05,-0.4945,0.5711,False,False
AZT@36.0,replication,greedy_ssm,96,current_fitness,local_robustness,0.1329,0.1079,-0.025,-23.16,-0.5233,0.3979,False,False
AZT@36.0,replication,greedy_ssm,96,current_fitness,neighbor_informative_frac,0.1329,0.7807,0.6478,82.97,-0.5151,0.894,False,False
