future,policy,budget,n_pairs,n_candidates,sd_ratio,sd_ratio_lo,sd_ratio_hi,var_explained_by_today,dir_current_fitness,dir_local_robustness,dir_proxy_eov_today,dir_Readiness,Readiness_p,Readiness_effect,Readiness_ci_lo,Readiness_ci_hi,exploratory_best_name,exploratory_best_rate,exploratory_best_p,verdict
AZT@0.44,random,24,76,509,0.8976,0.7302,1.0402,0.1944,0.4868,0.5526,0.4868,0.4474,0.422191,0.00453,-0.01299,0.02168,local_robustness,0.5526,0.422191,FAIL
AZT@0.44,random,96,104,509,1.0317,0.8578,1.1999,-0.0645,0.4615,0.4327,0.4904,0.5192,0.768792,0.0007,-0.01009,0.01104,local_robustness,0.4327,0.202173,FAIL
AZT@0.44,random,384,104,509,0.9846,0.8019,1.1499,0.0305,0.5192,0.5288,0.4712,0.4615,0.492645,-0.00862,-0.02057,0.00208,known_family_mean,0.4615,0.492645,FAIL
AZT@0.44,greedy_ssm,24,54,509,0.8571,0.6751,1.0155,0.2653,0.537,0.537,0.537,0.6111,0.133674,0.05547,-0.02136,0.13352,known_family_mean,0.6111,0.133674,FAIL
AZT@0.44,greedy_ssm,96,78,509,0.5894,0.4633,0.7142,0.6526,0.5385,0.4872,0.4872,0.6026,0.088782,0.03628,0.00986,0.06246,known_family_mean,0.6026,0.088782,FAIL
AZT@0.44,greedy_ssm,384,82,509,0.5784,0.435,0.7219,0.6654,0.5244,0.4878,0.439,0.5976,0.097031,0.01557,-0.0093,0.0419,known_family_mean,0.5976,0.097031,FAIL
AZT@0.44,mlde_ridge,24,75,509,0.8126,0.6358,0.9685,0.3397,0.6,0.6267,0.5467,0.52,0.817554,-0.00541,-0.02442,0.01266,local_robustness,0.6267,0.036955,FAIL
AZT@0.44,mlde_ridge,96,104,509,0.9492,0.8166,1.0616,0.099,0.5673,0.4808,0.5673,0.5288,0.624144,-0.0008,-0.01004,0.0083,current_fitness,0.5673,0.202173,FAIL
AZT@0.44,mlde_ridge,384,104,509,0.8655,0.7535,0.9603,0.2509,0.4904,0.4231,0.5481,0.4519,0.377584,-0.00502,-0.01251,0.00254,local_robustness,0.4231,0.140956,FAIL
AZT@36.0,random,24,76,509,0.9905,0.8125,1.1499,0.019,0.4342,0.3421,0.5395,0.5,1.0,0.00304,-0.12947,0.13297,local_robustness,0.3421,0.007905,FAIL
AZT@36.0,random,96,104,509,1.0173,0.8801,1.1493,-0.0349,0.4904,0.5,0.3654,0.5288,0.624144,0.01752,-0.06483,0.10704,proxy_eov_today,0.3654,0.0078,FAIL
AZT@36.0,random,384,104,509,0.9697,0.8199,1.115,0.0596,0.3942,0.4615,0.5,0.4519,0.377584,0.00224,-0.02655,0.03256,current_fitness,0.3942,0.038958,FAIL
AZT@36.0,greedy_ssm,24,54,509,0.8927,0.6925,1.0529,0.203,0.4444,0.5185,0.5556,0.5556,0.496617,0.19406,-0.03119,0.40799,current_fitness,0.4444,0.496617,FAIL
AZT@36.0,greedy_ssm,96,78,509,0.951,0.7989,1.0866,0.0955,0.5385,0.5641,0.5128,0.6538,0.008772,0.26745,0.07399,0.44517,known_family_mean,0.6538,0.008772,PASS
AZT@36.0,greedy_ssm,384,82,509,1.027,0.8765,1.1583,-0.0547,0.5488,0.5854,0.4146,0.6463,0.010637,0.28795,0.10068,0.45384,known_family_mean,0.6463,0.010637,PASS
AZT@36.0,mlde_ridge,24,75,509,1.0895,0.9294,1.2353,-0.187,0.4267,0.4533,0.5333,0.5067,1.0,0.00443,-0.16299,0.16923,current_fitness,0.4267,0.248046,FAIL
AZT@36.0,mlde_ridge,96,104,509,1.089,0.9455,1.2074,-0.1858,0.4135,0.5,0.5288,0.5481,0.377584,-0.02763,-0.14313,0.09501,current_fitness,0.4135,0.095044,FAIL
AZT@36.0,mlde_ridge,384,104,509,0.6605,0.5728,0.7421,0.5638,0.5728,0.5437,0.466,0.5049,1.0,-0.00082,-0.01297,0.01085,current_fitness,0.5728,0.167444,FAIL
