dataset_id,task_condition,n_groups,n_informative,informative_frac,iqr_signal,median_sem,signal_over_uncertainty,gfti_pass,note
Phillips2021_CR9114,fluB@default,65536,164,0.25,0.791973,0.078973,10.0284,False,
Phillips2021_CR9114,h1@default,65536,62762,95.77,0.669181,0.034199,19.5673,True,
Phillips2021_CR9114,h3@default,65536,6344,9.68,0.694236,0.065573,10.5873,False,
Phillips2023_HA_CH65,G189E@default,65535,54147,82.62,1.099163,0.048289,22.762,True,
Phillips2023_HA_CH65,MA90@default,65535,65530,99.99,0.672549,0.024898,27.0122,True,
Phillips2023_HA_CH65,SI06@default,65535,28507,43.5,0.790896,0.06737,11.7395,False,
Phillips2023_HA_CH65,expression@default,65536,65536,100.0,0.056368,0.019099,2.9514,True,
TEM-1CML,AMP@0.0,55294,55294,100.0,0.116331,0.06015,1.934,False,
TEM-1CML,AMP@12.2,55294,55294,100.0,0.445908,0.064684,6.8937,True,
TEM-1CML,AMP@195.0,55294,55226,99.88,0.474759,0.090224,5.262,True,
TEM-1CML,AMP@3.1,55294,55294,100.0,0.160285,0.063838,2.5108,True,
TEM-1CML,AMP@48.8,55294,55288,99.99,0.687308,0.071676,9.5891,True,
TEM-1CML,AMP@781.0,55294,52810,95.51,0.607734,0.177063,3.4323,True,
TEM-1CML,AZT@0.0,55294,55294,100.0,0.121902,0.063968,1.9057,False,
TEM-1CML,AZT@0.44,55294,55292,100.0,0.351841,0.081006,4.3434,True,
TEM-1CML,AZT@1.33,55294,55291,99.99,0.298957,0.080299,3.723,True,
TEM-1CML,AZT@108.0,55294,55289,99.99,0.175124,0.103012,1.7,False,
TEM-1CML,AZT@12.0,55294,55285,99.98,0.322088,0.128414,2.5082,True,
TEM-1CML,AZT@324.0,55294,55291,99.99,0.144334,0.074886,1.9274,False,
TEM-1CML,AZT@36.0,55294,55284,99.98,0.289374,0.139957,2.0676,True,
TEM-1CML,AZT@4.0,55294,55285,99.98,0.305934,0.108492,2.8199,True,
Phillips2021_CR9114,CL5_note,65091,65091,,,,,,共同可测基因型交集 = 65091
Phillips2021_CR9114,CL5|fluB@default~h1@default,65091,65091,,,,0.0772,True,rho=0.0772 ; <=0.9 gate PASS ; <=0.8 strict PASS
Phillips2021_CR9114,CL5|fluB@default~h3@default,65091,65091,,,,0.1705,True,rho=0.1705 ; <=0.9 gate PASS ; <=0.8 strict PASS
Phillips2021_CR9114,CL5|h1@default~h3@default,65091,65091,,,,0.363,True,rho=0.3630 ; <=0.9 gate PASS ; <=0.8 strict PASS
Phillips2023_HA_CH65,CL5_note,62926,62926,,,,,,共同可测基因型交集 = 62926
Phillips2023_HA_CH65,CL5|G189E@default~MA90@default,62926,62926,,,,0.9217,False,rho=0.9217 ; <=0.9 gate FAIL ; <=0.8 strict FAIL
Phillips2023_HA_CH65,CL5|G189E@default~SI06@default,62926,62926,,,,0.8711,True,rho=0.8711 ; <=0.9 gate PASS ; <=0.8 strict FAIL
Phillips2023_HA_CH65,CL5|MA90@default~SI06@default,62926,62926,,,,0.7555,True,rho=0.7555 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5_note,55291,55291,,,,,,共同可测基因型交集 = 55291
TEM-1CML,CL5|AMP@0.0~AMP@12.2,55291,55291,,,,0.2555,True,rho=0.2555 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AMP@195.0,55291,55291,,,,0.1595,True,rho=0.1595 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AMP@3.1,55291,55291,,,,0.4361,True,rho=0.4361 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AMP@48.8,55291,55291,,,,0.1933,True,rho=0.1933 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AMP@781.0,55291,55291,,,,0.0996,True,rho=0.0996 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@0.0,55291,55291,,,,0.0532,True,rho=0.0532 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@0.44,55291,55291,,,,0.0205,True,rho=0.0205 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@1.33,55291,55291,,,,0.0195,True,rho=0.0195 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@108.0,55291,55291,,,,0.007,True,rho=0.0070 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@12.0,55291,55291,,,,0.0274,True,rho=0.0274 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@324.0,55291,55291,,,,-0.0039,True,rho=-0.0039 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@36.0,55291,55291,,,,0.0239,True,rho=0.0239 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@0.0~AZT@4.0,55291,55291,,,,0.0167,True,rho=0.0167 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AMP@195.0,55291,55291,,,,0.5761,True,rho=0.5761 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AMP@3.1,55291,55291,,,,0.5867,True,rho=0.5867 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AMP@48.8,55291,55291,,,,0.7585,True,rho=0.7585 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AMP@781.0,55291,55291,,,,0.4099,True,rho=0.4099 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@0.0,55291,55291,,,,0.0502,True,rho=0.0502 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@0.44,55291,55291,,,,0.3107,True,rho=0.3107 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@1.33,55291,55291,,,,0.2552,True,rho=0.2552 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@108.0,55291,55291,,,,0.0356,True,rho=0.0356 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@12.0,55291,55291,,,,0.1403,True,rho=0.1403 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@324.0,55291,55291,,,,0.1131,True,rho=0.1131 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@36.0,55291,55291,,,,0.0952,True,rho=0.0952 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@12.2~AZT@4.0,55291,55291,,,,0.1952,True,rho=0.1952 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AMP@3.1,55291,55291,,,,0.3178,True,rho=0.3178 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AMP@48.8,55291,55291,,,,0.7424,True,rho=0.7424 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AMP@781.0,55291,55291,,,,0.6133,True,rho=0.6133 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@0.0,55291,55291,,,,0.0301,True,rho=0.0301 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@0.44,55291,55291,,,,0.3827,True,rho=0.3827 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@1.33,55291,55291,,,,0.3651,True,rho=0.3651 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@108.0,55291,55291,,,,0.0621,True,rho=0.0621 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@12.0,55291,55291,,,,0.2238,True,rho=0.2238 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@324.0,55291,55291,,,,0.1298,True,rho=0.1298 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@36.0,55291,55291,,,,0.1455,True,rho=0.1455 ; <=0.9 gate PASS ; <=0.8 strict PASS
TEM-1CML,CL5|AMP@195.0~AZT@4.0,55291,55291,,,,0.3079,True,rho=0.3079 ; <=0.9 gate PASS ; <=0.8 strict PASS
