task,policy,budget,n_parents,iqr_r,denom_sd,denom_sem,ratio_sd,ratio_sem,pass_sd,pass_sem,n_rep_per_genotype
MA90,random,24,1000,0.10552,0.076114,0.051755,1.3863,2.0388,True,True,1.9371
MA90,random,96,1000,0.065,0.076114,0.051755,0.854,1.2559,False,True,1.9371
MA90,random,384,1000,0.039022,0.076114,0.051755,0.5127,0.754,False,False,1.9371
MA90,greedy_ssm,24,1000,0.169715,0.076114,0.051755,2.2297,3.2792,True,True,1.9371
MA90,greedy_ssm,96,1000,0.125331,0.076114,0.051755,1.6466,2.4216,True,True,1.9371
MA90,greedy_ssm,384,1000,0.124066,0.076114,0.051755,1.63,2.3972,True,True,1.9371
MA90,mlde_ridge,24,1000,0.079124,0.076114,0.051755,1.0395,1.5288,True,True,1.9371
MA90,mlde_ridge,96,1000,0.034183,0.076114,0.051755,0.4491,0.6605,False,False,1.9371
MA90,mlde_ridge,384,1000,0.0,0.076114,0.051755,0.0,0.0,False,False,1.9371
SI06,random,24,446,0.343767,0.009569,0.005421,35.9237,63.4147,True,True,1.9742
SI06,random,96,446,0.239047,0.009569,0.005421,24.9804,44.097,True,True,1.9742
SI06,random,384,446,0.189379,0.009569,0.005421,19.7901,34.9348,True,True,1.9742
SI06,greedy_ssm,24,446,0.456701,0.009569,0.005421,47.7253,84.2477,True,True,1.9742
SI06,greedy_ssm,96,446,0.460657,0.009569,0.005421,48.1387,84.9775,True,True,1.9742
SI06,greedy_ssm,384,446,0.460657,0.009569,0.005421,48.1387,84.9775,True,True,1.9742
SI06,mlde_ridge,24,446,0.461477,0.009569,0.005421,48.2244,85.1287,True,True,1.9742
SI06,mlde_ridge,96,446,0.253585,0.009569,0.005421,26.4997,46.7789,True,True,1.9742
SI06,mlde_ridge,384,446,0.299486,0.009569,0.005421,31.2963,55.2463,True,True,1.9742
G189E,random,24,815,0.099033,0.109141,0.077094,0.9074,1.2846,False,True,1.9729
G189E,random,96,815,0.076624,0.109141,0.077094,0.7021,0.9939,False,False,1.9729
G189E,random,384,815,0.05328,0.109141,0.077094,0.4882,0.6911,False,False,1.9729
G189E,greedy_ssm,24,815,0.129355,0.109141,0.077094,1.1852,1.6779,True,True,1.9729
G189E,greedy_ssm,96,815,0.121718,0.109141,0.077094,1.1152,1.5788,True,True,1.9729
G189E,greedy_ssm,384,815,0.124191,0.109141,0.077094,1.1379,1.6109,True,True,1.9729
G189E,mlde_ridge,24,815,0.085135,0.109141,0.077094,0.78,1.1043,False,True,1.9729
G189E,mlde_ridge,96,815,0.052798,0.109141,0.077094,0.4838,0.6849,False,False,1.9729
G189E,mlde_ridge,384,815,0.0,0.109141,0.077094,0.0,0.0,False,False,1.9729
