future,policy,budget,n,r2_proxy_only,r2_proxy_plus_today_eov,delta_cv_r2,r2_current_fitness,r2_known_family_mean,r2_known_family_worst,r2_local_robustness,r2_neighbor_informative_frac,r2_dist_to_best,r2_n_better_neighbors,r2_local_ruggedness,INT1_proxy_ge_080,INT1_delta_lt_002,INT1_EOV_reducible
AZT@0.44,random,24,1000,-0.0136,-0.0152,-0.0016,-0.0022,0.002,0.0039,0.0005,-0.0008,-0.0049,-0.0025,-0.0022,False,True,False
AZT@0.44,random,96,1000,-0.0082,-0.0082,-0.0,0.0012,0.0017,-0.0032,0.0028,-0.0035,-0.0005,-0.0016,-0.0012,False,True,False
AZT@0.44,random,384,1000,-0.0114,-0.0101,0.0013,-0.0045,-0.0068,-0.0068,-0.0054,-0.005,-0.0031,-0.0042,-0.0042,False,True,False
AZT@0.44,greedy_ssm,24,1000,0.2133,0.2181,0.0047,0.0703,0.1483,0.0814,0.1408,0.0329,0.0883,-0.0041,-0.0031,False,True,False
AZT@0.44,greedy_ssm,96,1000,0.1411,0.156,0.0149,0.0395,0.1032,0.0523,0.088,0.0151,0.0543,-0.005,-0.0045,False,True,False
AZT@0.44,greedy_ssm,384,1000,0.1145,0.1229,0.0083,0.0375,0.0854,0.0446,0.0778,0.0061,0.0431,-0.0038,-0.0032,False,True,False
AZT@0.44,mlde_ridge,24,1000,-0.0072,-0.0066,0.0006,0.0049,0.0055,-0.001,0.0046,0.0015,-0.0113,-0.0024,-0.0016,False,True,False
AZT@0.44,mlde_ridge,96,1000,-0.0137,-0.0155,-0.0018,-0.004,-0.0023,-0.0018,-0.0033,-0.0018,-0.0023,-0.003,-0.0034,False,True,False
AZT@0.44,mlde_ridge,384,1000,-0.0069,-0.0077,-0.0008,-0.0036,-0.0037,-0.0031,-0.0047,-0.0023,0.0003,-0.0021,-0.0026,False,True,False
AZT@36.0,random,24,1000,-0.008,-0.0089,-0.0009,-0.001,-0.0023,-0.0026,-0.0024,-0.0028,0.0017,0.0014,0.0014,False,True,False
AZT@36.0,random,96,1000,-0.0167,-0.0156,0.0011,-0.0045,-0.0035,-0.0064,-0.0054,-0.0112,0.003,-0.0047,-0.0056,False,True,False
AZT@36.0,random,384,1000,-0.0086,-0.012,-0.0034,-0.0013,-0.003,-0.0037,-0.0033,-0.0024,-0.0002,-0.0018,-0.0017,False,True,False
AZT@36.0,greedy_ssm,24,1000,0.3127,0.3163,0.0036,0.1484,0.1496,0.0854,0.283,0.0253,0.0951,-0.0015,-0.0007,False,True,False
AZT@36.0,greedy_ssm,96,1000,0.2401,0.2437,0.0035,0.113,0.1245,0.0736,0.2161,0.0271,0.0711,-0.0025,-0.0012,False,True,False
AZT@36.0,greedy_ssm,384,1000,0.1528,0.1558,0.0031,0.0655,0.0718,0.0399,0.1394,0.018,0.0428,-0.0033,-0.0027,False,True,False
AZT@36.0,mlde_ridge,24,1000,-0.016,-0.016,0.0,-0.004,0.0007,0.0034,-0.0038,-0.0021,-0.0046,-0.0042,-0.0038,False,True,False
AZT@36.0,mlde_ridge,96,1000,-0.0058,-0.0068,-0.001,0.0015,-0.0003,-0.0019,0.0054,-0.001,-0.0032,-0.0014,-0.0024,False,True,False
AZT@36.0,mlde_ridge,384,1000,-0.0072,-0.0108,-0.0037,0.0021,-0.0011,-0.0014,0.0002,-0.0018,-0.0041,0.0012,0.0008,False,True,False
