kind,task,budget_a,budget_b,n,rho_single_rep,rho_rep_averaged,delta,sd_within_parent_over_reps,sd_between_parents
cross_budget,MA90,24,96,1000,0.7556,0.9036,0.148,0.04901,0.08007
cross_budget,MA90,24,384,1000,0.7461,0.8965,0.1503,0.04901,0.08007
cross_budget,MA90,96,384,1000,0.9856,0.9925,0.0068,0.00087,0.0786
cross_budget,SI06,24,96,446,0.8519,0.9662,0.1143,0.05886,0.12458
cross_budget,SI06,24,384,446,0.8521,0.9663,0.1143,0.05886,0.12458
cross_budget,SI06,96,384,446,1.0,1.0,-0.0,0.0,0.12563
cross_budget,G189E,24,96,815,0.7161,0.8684,0.1523,0.03283,0.04885
cross_budget,G189E,24,384,815,0.7022,0.8616,0.1593,0.03283,0.04885
cross_budget,G189E,96,384,815,0.9743,0.9871,0.0128,0.00057,0.05274
cross_task,MA90~SI06,24,,446,0.2889,0.3884,0.0994,,
cross_task,MA90~G189E,24,,815,0.5656,0.8407,0.2751,,
cross_task,SI06~G189E,24,,446,0.2658,0.3135,0.0477,,
cross_task,MA90~SI06,96,,446,0.4207,0.4235,0.0028,,
cross_task,MA90~G189E,96,,815,0.7094,0.711,0.0016,,
cross_task,SI06~G189E,96,,446,0.1671,0.1653,-0.0019,,
cross_task,MA90~SI06,384,,446,0.4101,0.4156,0.0054,,
cross_task,MA90~G189E,384,,815,0.7011,0.7126,0.0116,,
cross_task,SI06~G189E,384,,446,0.1523,0.156,0.0038,,
