kind,pair,label,spearman,n,verdict
cross_budget,random_B24|random_B96,MA90,-0.0275,1000,UNSTABLE
cross_budget,random_B24|random_B384,MA90,0.0144,1000,UNSTABLE
cross_budget,random_B96|random_B384,MA90,-0.0187,1000,UNSTABLE
cross_budget,random_B24|random_B96,SI06,0.0183,446,UNSTABLE
cross_budget,random_B24|random_B384,SI06,0.0081,446,UNSTABLE
cross_budget,random_B96|random_B384,SI06,0.0122,446,UNSTABLE
cross_budget,random_B24|random_B96,G189E,0.0498,815,UNSTABLE
cross_budget,random_B24|random_B384,G189E,0.0291,815,UNSTABLE
cross_budget,random_B96|random_B384,G189E,0.0251,815,UNSTABLE
cross_budget,greedy_ssm_B24|greedy_ssm_B96,MA90,0.7594,1000,STABLE
cross_budget,greedy_ssm_B24|greedy_ssm_B384,MA90,0.7509,1000,STABLE
cross_budget,greedy_ssm_B96|greedy_ssm_B384,MA90,0.9826,1000,STABLE
cross_budget,greedy_ssm_B24|greedy_ssm_B96,SI06,0.8596,446,STABLE
cross_budget,greedy_ssm_B24|greedy_ssm_B384,SI06,0.8596,446,STABLE
cross_budget,greedy_ssm_B96|greedy_ssm_B384,SI06,1.0,446,STABLE
cross_budget,greedy_ssm_B24|greedy_ssm_B96,G189E,0.6776,815,MODERATE
cross_budget,greedy_ssm_B24|greedy_ssm_B384,G189E,0.665,815,MODERATE
cross_budget,greedy_ssm_B96|greedy_ssm_B384,G189E,0.9865,815,STABLE
cross_budget,mlde_ridge_B24|mlde_ridge_B96,MA90,-0.0013,1000,UNSTABLE
cross_budget,mlde_ridge_B24|mlde_ridge_B384,MA90,-0.0078,1000,UNSTABLE
cross_budget,mlde_ridge_B96|mlde_ridge_B384,MA90,0.0221,1000,UNSTABLE
cross_budget,mlde_ridge_B24|mlde_ridge_B96,SI06,0.0292,446,UNSTABLE
cross_budget,mlde_ridge_B24|mlde_ridge_B384,SI06,-0.0282,446,UNSTABLE
cross_budget,mlde_ridge_B96|mlde_ridge_B384,SI06,-0.0189,446,UNSTABLE
cross_budget,mlde_ridge_B24|mlde_ridge_B96,G189E,0.0131,815,UNSTABLE
cross_budget,mlde_ridge_B24|mlde_ridge_B384,G189E,-0.0142,815,UNSTABLE
cross_budget,mlde_ridge_B96|mlde_ridge_B384,G189E,0.0073,815,UNSTABLE
cross_task,random_B24|random_B24,MA90~SI06,0.0509,446,UNSTABLE
cross_task,random_B24|random_B24,MA90~G189E,0.015,815,UNSTABLE
cross_task,random_B24|random_B24,SI06~G189E,0.0333,446,UNSTABLE
cross_task,random_B96|random_B96,MA90~SI06,0.0684,446,UNSTABLE
cross_task,random_B96|random_B96,MA90~G189E,-0.0268,815,UNSTABLE
cross_task,random_B96|random_B96,SI06~G189E,-0.0018,446,UNSTABLE
cross_task,random_B384|random_B384,MA90~SI06,0.0395,446,UNSTABLE
cross_task,random_B384|random_B384,MA90~G189E,0.001,815,UNSTABLE
cross_task,random_B384|random_B384,SI06~G189E,-0.0266,446,UNSTABLE
cross_task,greedy_ssm_B24|greedy_ssm_B24,MA90~SI06,0.2366,446,UNSTABLE
cross_task,greedy_ssm_B24|greedy_ssm_B24,MA90~G189E,0.5356,815,MODERATE
cross_task,greedy_ssm_B24|greedy_ssm_B24,SI06~G189E,0.2702,446,UNSTABLE
cross_task,greedy_ssm_B96|greedy_ssm_B96,MA90~SI06,0.4214,446,MODERATE
cross_task,greedy_ssm_B96|greedy_ssm_B96,MA90~G189E,0.7104,815,STABLE
cross_task,greedy_ssm_B96|greedy_ssm_B96,SI06~G189E,0.1658,446,UNSTABLE
cross_task,greedy_ssm_B384|greedy_ssm_B384,MA90~SI06,0.3955,446,UNSTABLE
cross_task,greedy_ssm_B384|greedy_ssm_B384,MA90~G189E,0.699,815,MODERATE
cross_task,greedy_ssm_B384|greedy_ssm_B384,SI06~G189E,0.1694,446,UNSTABLE
cross_task,mlde_ridge_B24|mlde_ridge_B24,MA90~SI06,0.0052,446,UNSTABLE
cross_task,mlde_ridge_B24|mlde_ridge_B24,MA90~G189E,-0.0254,815,UNSTABLE
cross_task,mlde_ridge_B24|mlde_ridge_B24,SI06~G189E,0.0549,446,UNSTABLE
cross_task,mlde_ridge_B96|mlde_ridge_B96,MA90~SI06,0.0397,446,UNSTABLE
cross_task,mlde_ridge_B96|mlde_ridge_B96,MA90~G189E,0.0062,815,UNSTABLE
cross_task,mlde_ridge_B96|mlde_ridge_B96,SI06~G189E,-0.0421,446,UNSTABLE
cross_task,mlde_ridge_B384|mlde_ridge_B384,MA90~SI06,-0.0172,446,UNSTABLE
cross_task,mlde_ridge_B384|mlde_ridge_B384,MA90~G189E,-0.0079,815,UNSTABLE
cross_task,mlde_ridge_B384|mlde_ridge_B384,SI06~G189E,-0.0251,446,UNSTABLE
