future,policy,budget,selector,v_oracle,v_robust_worst,v_selected,regret,NR,NR_lo,NR_hi,spearman,v_selected_noisefree,n_boot_used,best_selector_in_cell
AZT@0.44,random,24,random,1.2151,0.9437,1.0373,0.1778,0.6551,0.619,0.6719,,1.0215,2000,
AZT@0.44,random,24,current_fitness,1.2151,0.9437,1.0774,0.1378,0.5077,0.45,1.1015,0.0531,1.0828,2000,
AZT@0.44,random,24,known_family_mean,1.2151,0.9437,1.0242,0.1909,0.7034,0.467,0.886,0.0582,0.9636,2000,
AZT@0.44,random,24,known_family_worst,1.2151,0.9437,1.0242,0.1909,0.7034,0.4379,1.0474,0.0806,0.9636,2000,
AZT@0.44,random,24,local_robustness,1.2151,0.9437,1.0693,0.1459,0.5375,0.4788,0.6939,0.0799,1.0286,2000,
AZT@0.44,random,24,neighbor_informative_frac,1.2151,0.9437,1.0803,0.1348,0.4969,0.2625,1.0705,0.029,1.1696,2000,
AZT@0.44,random,24,dist_to_best,1.2151,0.9437,1.0626,0.1525,0.5619,0.4668,1.0105,0.043,1.0217,2000,
AZT@0.44,random,24,n_better_neighbors,1.2151,0.9437,1.0807,0.1345,0.4954,0.2855,1.0344,0.0055,1.0981,2000,
AZT@0.44,random,24,local_ruggedness,1.2151,0.9437,1.0807,0.1345,0.4954,0.2856,1.0813,0.0111,1.0981,2000,
AZT@0.44,random,24,proxy_eov_today,1.2151,0.9437,0.9093,0.3058,1.1267,0.4765,1.1701,0.015,1.0217,2000,
AZT@0.44,random,24,oracle,1.2151,0.9437,1.2151,0.0,0.0,0.0,0.0,1.0,1.2266,2000,
AZT@0.44,random,96,random,1.2993,1.0662,1.1152,0.1841,0.7899,0.7225,0.7996,,1.09,2000,
AZT@0.44,random,96,current_fitness,1.2993,1.0662,1.0939,0.2054,0.8811,0.8423,1.0088,-0.0328,1.0963,2000,
AZT@0.44,random,96,known_family_mean,1.2993,1.0662,1.0951,0.2042,0.8763,0.7243,0.8888,-0.0579,1.1033,2000,
AZT@0.44,random,96,known_family_worst,1.2993,1.0662,1.0951,0.2042,0.8763,0.7604,0.9595,-0.0197,1.1033,2000,
AZT@0.44,random,96,local_robustness,1.2993,1.0662,1.1066,0.1927,0.8267,0.4716,0.9045,-0.0679,1.0541,2000,
AZT@0.44,random,96,neighbor_informative_frac,1.2993,1.0662,1.0856,0.2137,0.9169,0.4375,1.0333,-0.0826,1.0504,2000,
