future,policy,budget,Readiness(known_family_mean),current_fitness,known_family_mean,known_family_worst,local_robustness,neighbor_informative_frac,dist_to_best,n_better_neighbors,local_ruggedness
AZT@0.44,random,24,0.0582,0.0531,0.0582,0.0806,0.0799,0.029,0.043,0.0055,0.0111
AZT@0.44,random,96,-0.0579,-0.0328,-0.0579,-0.0197,-0.0679,-0.0826,-0.0582,0.0016,0.0
AZT@0.44,random,384,-0.0049,-0.0064,-0.0049,0.0134,-0.0044,-0.007,0.003,-0.0134,-0.0132
AZT@0.44,greedy_ssm,24,0.4433,0.2946,0.4433,0.357,0.4737,0.2635,0.325,0.0314,0.0594
AZT@0.44,greedy_ssm,96,0.3776,0.2382,0.3776,0.2819,0.4078,0.2185,0.257,0.0299,0.0534
AZT@0.44,greedy_ssm,384,0.3414,0.2287,0.3414,0.2602,0.3855,0.1701,0.2261,0.039,0.0545
AZT@0.44,mlde_ridge,24,0.105,0.1032,0.105,0.0941,0.0887,0.0595,0.0053,0.058,0.0659
AZT@0.44,mlde_ridge,96,-0.0014,0.0416,-0.0014,0.0049,0.0155,-0.025,0.0175,0.0277,0.0236
AZT@0.44,mlde_ridge,384,0.0168,0.0239,0.0168,0.0357,0.0214,0.006,-0.0666,0.0379,0.0314
AZT@36.0,random,24,0.0106,-0.0352,0.0106,-0.0055,-0.0096,0.0253,0.0567,-0.0503,-0.0493
AZT@36.0,random,96,0.0486,0.0317,0.0486,0.0443,0.0465,-0.006,0.0827,0.0124,0.0145
AZT@36.0,random,384,0.0253,0.0318,0.0253,0.0394,-0.0161,0.0257,0.0483,0.0342,0.0354
AZT@36.0,greedy_ssm,24,0.3271,0.2395,0.3271,0.2371,0.4261,0.1288,0.2382,-0.0018,0.0126
AZT@36.0,greedy_ssm,96,0.3111,0.2298,0.3111,0.2357,0.3916,0.1481,0.2143,-0.0027,0.0137
AZT@36.0,greedy_ssm,384,0.2683,0.2203,0.2683,0.2061,0.3766,0.1662,0.2125,0.0057,0.022
AZT@36.0,mlde_ridge,24,0.0633,0.0493,0.0633,0.06,0.0232,-0.0199,0.0308,0.0399,0.0345
AZT@36.0,mlde_ridge,96,0.0425,0.0282,0.0425,0.052,0.0859,0.034,0.0709,-0.0421,-0.0351
AZT@36.0,mlde_ridge,384,-0.0214,-0.0631,-0.0214,-0.023,-0.0118,-0.0046,0.0116,-0.0764,-0.074
