kind,task,a,b,n,rho
cross_budget,MA90,B24,B96,1000,0.8744
cross_budget,MA90,B24,B384,1000,0.8686
cross_budget,MA90,B96,B384,1000,0.9898
cross_budget,SI06,B24,B96,446,0.9366
cross_budget,SI06,B24,B384,446,0.9288
cross_budget,SI06,B96,B384,446,0.9935
cross_budget,G189E,B24,B96,815,0.8342
cross_budget,G189E,B24,B384,815,0.833
cross_budget,G189E,B96,B384,815,0.986
cross_task,MA90~SI06,B24,,446,0.3108
cross_task,MA90~G189E,B24,,815,0.7127
cross_task,SI06~G189E,B24,,446,0.3216
cross_task,MA90~SI06,B96,,446,0.3464
cross_task,MA90~G189E,B96,,815,0.7225
cross_task,SI06~G189E,B96,,446,0.1743
cross_task,MA90~SI06,B384,,446,0.3542
cross_task,MA90~G189E,B384,,815,0.7255
cross_task,SI06~G189E,B384,,446,0.1851
