dataset,pk,rho,reg,beta,r2,n,task_A,task_B,f1_landscape_rho,f2_beneficial_overlap,f3_sign_epistasis_agree,f4_neighborhood_agree,f5_task_distance,f6_robustness_consistency,n_common,n_epistasis_common,grp
Phillips2023_HA_CH65,G189E@default|MA90@default,0.2119,0.7913555555555556,0.18535555555555555,0.11663333333333334,9,G189E@default,MA90@default,0.8779,0.0,,0.7522,0.1221,0.9053,54143,0,Phillips(3 任务)
Phillips2023_HA_CH65,G189E@default|SI06@default,0.06644444444444444,0.7649888888888889,0.05976666666666667,0.0159,9,G189E@default,SI06@default,0.7745,,,0.713,0.2255,0.4641,28499,0,Phillips(3 任务)
Phillips2023_HA_CH65,MA90@default|SI06@default,0.13777777777777778,0.4556555555555556,0.11687777777777779,0.030422222222222222,9,MA90@default,SI06@default,0.6443,0.0,,0.6978,0.3557,0.4412,28507,0,Phillips(3 任务)
TEM-1CML,AMP@0.0|AMP@12.2,0.04066666666666666,0.8340666666666667,0.02611111111111111,0.0015111111111111113,9,AMP@0.0,AMP@12.2,0.2556,0.0,0.6871,0.6318,0.7444,0.2415,55293,147,TEM-1 同药
TEM-1CML,AMP@0.0|AMP@195.0,-0.02838888888888889,0.8206,-0.03741111111111111,0.0035888888888888893,9,AMP@0.0,AMP@195.0,0.1598,,0.8435,0.5785,0.8402,0.1444,55225,147,TEM-1 同药
TEM-1CML,AMP@0.0|AMP@3.1,0.049555555555555554,0.8113555555555556,0.05361111111111111,0.006911111111111111,9,AMP@0.0,AMP@3.1,0.4361,0.0,0.8639,0.6632,0.5639,0.4782,55293,147,TEM-1 同药
TEM-1CML,AMP@0.0|AMP@48.8,-0.008144444444444445,0.8087333333333333,-0.013988888888888891,0.0021888888888888887,9,AMP@0.0,AMP@48.8,0.1932,,0.8776,0.6077,0.8068,0.1626,55287,147,TEM-1 同药
TEM-1CML,AMP@0.0|AMP@781.0,-0.016755555555555555,0.5848666666666666,-0.011188888888888889,0.0032111111111111108,9,AMP@0.0,AMP@781.0,0.0896,0.0,0.6463,0.5361,0.9104,0.1196,52809,147,TEM-1 同药
TEM-1CML,AMP@12.2|AMP@195.0,0.035555555555555556,0.6572444444444445,0.04481111111111111,0.010577777777777776,9,AMP@12.2,AMP@195.0,0.5758,0.0,0.6667,0.6203,0.4242,0.8737,55225,147,TEM-1 同药
TEM-1CML,AMP@12.2|AMP@3.1,0.053222222222222226,0.6923444444444444,0.05618888888888889,0.0083,9,AMP@12.2,AMP@3.1,0.5867,0.2222,0.7279,0.6683,0.4133,0.8079,55293,147,TEM-1 同药
TEM-1CML,AMP@12.2|AMP@48.8,0.06872222222222221,0.8118444444444444,0.07536666666666667,0.02174444444444444,9,AMP@12.2,AMP@48.8,0.7585,0.0,0.6735,0.6813,0.2415,0.9398,55287,147,TEM-1 同药
TEM-1CML,AMP@12.2|AMP@781.0,0.0599,0.4595666666666667,0.06091111111111111,0.009111111111111111,9,AMP@12.2,AMP@781.0,0.3912,0.3333,0.6599,0.5603,0.6088,0.7521,52809,147,TEM-1 同药
TEM-1CML,AMP@195.0|AMP@3.1,0.007411111111111112,0.6370777777777779,0.009822222222222224,0.0029,9,AMP@195.0,AMP@3.1,0.3177,0.0,0.8163,0.5873,0.6823,0.6299,55225,147,TEM-1 同药
TEM-1CML,AMP@195.0|AMP@48.8,0.1036,0.7781555555555556,0.13297777777777775,0.04378888888888889,9,AMP@195.0,AMP@48.8,0.7424,,0.8571,0.6749,0.2576,0.9231,55221,147,TEM-1 同药
TEM-1CML,AMP@195.0|AMP@781.0,0.12573333333333334,0.3854222222222222,0.11812222222222221,0.044955555555555554,9,AMP@195.0,AMP@781.0,0.6151,0.0,0.6531,0.6374,0.3849,0.8186,52784,147,TEM-1 同药
TEM-1CML,AMP@3.1|AMP@48.8,0.029888888888888892,0.8489333333333333,0.03574444444444444,0.0061333333333333335,9,AMP@3.1,AMP@48.8,0.4289,0.0,0.8367,0.6271,0.5711,0.6961,55287,147,TEM-1 同药
TEM-1CML,AMP@3.1|AMP@781.0,0.007300000000000001,0.45332222222222224,0.02091111111111111,0.0016777777777777778,9,AMP@3.1,AMP@781.0,0.2047,0.0,0.6735,0.5418,0.7953,0.5287,52809,147,TEM-1 同药
TEM-1CML,AMP@48.8|AMP@781.0,0.07758888888888889,0.6498333333333333,0.08162222222222221,0.02142222222222222,9,AMP@48.8,AMP@781.0,0.5351,0.0,0.6871,0.5944,0.4649,0.7954,52806,147,TEM-1 同药
TEM-1CML,AMP@781.0|AZT@0.44,0.12863333333333332,0.6528444444444444,0.11256666666666665,0.03535555555555556,9,AMP@781.0,AZT@0.44,0.302,0.4,0.6735,0.5534,0.698,0.5335,52807,147,TEM-1 跨药
TEM-1CML,AMP@781.0|AZT@36.0,0.10516666666666667,0.4654111111111111,0.102,0.03841111111111111,9,AMP@781.0,AZT@36.0,0.1594,0.0625,0.4694,0.535,0.8406,0.3741,52803,147,TEM-1 跨药
TEM-1CML,AZT@0.44|AZT@36.0,0.12362222222222223,0.38101111111111113,0.11775555555555556,0.03931111111111111,9,AZT@0.44,AZT@36.0,0.2627,0.2,0.551,0.5678,0.7373,0.5039,55281,147,TEM-1 同药
