dataset,group,task_A,task_B,policy,budget,n,rho_rank,regret_A_to_B,regret_B_to_A,beta,r2,iqr_ratio
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,random,24,446,0.0509,0.2705,0.8742,0.0627,0.0039,1.0021
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,random,96,446,0.0684,0.6227,0.7317,0.0755,0.0057,0.9297
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,random,384,446,0.0395,0.6222,0.9288,0.0016,0.0,1.3593
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,greedy_ssm,24,446,0.2366,0.4523,0.4769,0.2149,0.0462,1.5358
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,greedy_ssm,96,446,0.4214,0.4723,0.5962,0.3343,0.1118,1.9628
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,greedy_ssm,384,446,0.3955,0.4723,0.5962,0.3223,0.1039,1.9762
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,mlde_ridge,24,446,0.0052,0.1499,0.7938,0.0149,0.0002,1.1117
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,mlde_ridge,96,446,0.0397,0.9178,0.6268,0.0427,0.0018,1.5578
Phillips2023_HA_CH65,within_task,MA90@default,SI06@default,mlde_ridge,384,446,-0.0172,0.1209,0.9866,-0.017,0.0003,
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,random,24,815,0.015,0.5069,0.4825,0.027,0.0007,0.8822
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,random,96,815,-0.0268,0.8956,0.8606,-0.0369,0.0014,1.0625
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,random,384,815,0.001,0.9886,0.8996,-0.006,0.0,0.8543
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,greedy_ssm,24,815,0.5356,0.5359,0.5239,0.5122,0.2624,0.9923
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,greedy_ssm,96,815,0.7104,0.6934,0.4843,0.6279,0.3943,1.2436
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,greedy_ssm,384,815,0.699,0.694,0.4843,0.6212,0.3859,1.2857
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,mlde_ridge,24,815,-0.0254,0.9428,0.752,-0.0623,0.0039,0.9404
Phillips2023_HA_CH65,within_task,MA90@default,G189E@default,mlde_ridge,96,815,0.0062,0.9036,0.6721,-0.0293,0.0009,1.1879
