task_A,task_B,policy,budget,n,rho_rank,degenerate
Bei89,Bk79,random,24,576,0.020513,
Bei89,Bk79,random,96,576,-0.052744,
Bei89,Bk79,greedy_ssm,24,576,0.384643,
Bei89,Bk79,greedy_ssm,96,576,0.367069,
Bei89,Bk79,mlde_ridge,24,576,0.041478,
Bei89,Bk79,mlde_ridge,96,576,,scale:AB
Bei89,Bk79,<pair-level mean>,,5,0.152192,
Bei89,Bris07,random,24,576,0.080378,
Bei89,Bris07,random,96,576,-0.03864,
Bei89,Bris07,greedy_ssm,24,576,-0.197323,
Bei89,Bris07,greedy_ssm,96,576,-0.152798,
Bei89,Bris07,mlde_ridge,24,576,-0.01301,
Bei89,Bris07,mlde_ridge,96,576,,scale:AB
Bei89,Bris07,<pair-level mean>,,5,-0.064279,
Bei89,HK68,random,24,576,-0.046403,
Bei89,HK68,random,96,576,0.050455,
Bei89,HK68,greedy_ssm,24,576,-0.043644,
Bei89,HK68,greedy_ssm,96,576,-0.093721,
Bei89,HK68,mlde_ridge,24,576,0.011339,
Bei89,HK68,mlde_ridge,96,576,,scale:A
Bei89,HK68,<pair-level mean>,,5,-0.024395,
Bei89,Mos99,random,24,576,0.047688,
Bei89,Mos99,random,96,576,0.007527,
Bei89,Mos99,greedy_ssm,24,576,-0.073283,
Bei89,Mos99,greedy_ssm,96,576,-0.063297,
Bei89,Mos99,mlde_ridge,24,576,0.001714,
Bei89,Mos99,mlde_ridge,96,576,,scale:AB
Bei89,Mos99,<pair-level mean>,,5,-0.01593,
Bei89,NDako16,random,24,576,-0.004521,
Bei89,NDako16,random,96,576,-0.027448,
Bei89,NDako16,greedy_ssm,24,576,-0.001095,
Bei89,NDako16,greedy_ssm,96,576,0.004895,
Bei89,NDako16,mlde_ridge,24,576,-0.038915,
Bei89,NDako16,mlde_ridge,96,576,,scale:AB
Bei89,NDako16,<pair-level mean>,,5,-0.013417,
Bk79,Bris07,random,24,576,0.019355,
Bk79,Bris07,random,96,576,0.018348,
Bk79,Bris07,greedy_ssm,24,576,-0.40754,
Bk79,Bris07,greedy_ssm,96,576,-0.440228,
Bk79,Bris07,mlde_ridge,24,576,-0.003421,
Bk79,Bris07,mlde_ridge,96,576,,scale:AB
Bk79,Bris07,<pair-level mean>,,5,-0.162697,
Bk79,HK68,random,24,576,-0.013499,
Bk79,HK68,random,96,576,-0.01232,
Bk79,HK68,greedy_ssm,24,576,0.178992,
Bk79,HK68,greedy_ssm,96,576,0.089889,
Bk79,HK68,mlde_ridge,24,576,0.012838,
Bk79,HK68,mlde_ridge,96,576,,scale:A
Bk79,HK68,<pair-level mean>,,5,0.05118,
Bk79,Mos99,random,24,576,-0.02489,
Bk79,Mos99,random,96,576,-0.020064,
Bk79,Mos99,greedy_ssm,24,576,0.001035,
Bk79,Mos99,greedy_ssm,96,576,0.06711,
Bk79,Mos99,mlde_ridge,24,576,-0.043759,
Bk79,Mos99,mlde_ridge,96,576,,scale:AB
Bk79,Mos99,<pair-level mean>,,5,-0.004114,
Bk79,NDako16,random,24,576,-0.05271,
Bk79,NDako16,random,96,576,-0.017805,
Bk79,NDako16,greedy_ssm,24,576,0.049027,
Bk79,NDako16,greedy_ssm,96,576,0.071009,
Bk79,NDako16,mlde_ridge,24,576,-0.03918,
Bk79,NDako16,mlde_ridge,96,576,,scale:AB
