system,A,B,rho_rank,S0,key,S0_rank_in_sys
TEM-1CML,AMP@0.0,AMP@12.2,0.04066666666666666,0.0,TEM-1CML|AMP@0.0~AMP@12.2,0.16666666666666666
TEM-1CML,AMP@0.0,AMP@195.0,-0.02838888888888889,0.0,TEM-1CML|AMP@0.0~AMP@195.0,0.16666666666666666
TEM-1CML,AMP@0.0,AMP@3.1,0.049555555555555554,0.0,TEM-1CML|AMP@0.0~AMP@3.1,0.16666666666666666
TEM-1CML,AMP@0.0,AMP@48.8,-0.008144444444444445,0.0,TEM-1CML|AMP@0.0~AMP@48.8,0.16666666666666666
TEM-1CML,AMP@0.0,AMP@781.0,-0.016755555555555555,0.0,TEM-1CML|AMP@0.0~AMP@781.0,0.16666666666666666
TEM-1CML,AMP@12.2,AMP@195.0,0.035555555555555556,0.3000894204154868,TEM-1CML|AMP@12.2~AMP@195.0,0.7222222222222222
TEM-1CML,AMP@12.2,AMP@48.8,0.06872222222222221,0.5476822525425331,TEM-1CML|AMP@12.2~AMP@48.8,0.8888888888888888
TEM-1CML,AMP@12.2,AMP@781.0,0.0599,0.16426222367946935,TEM-1CML|AMP@12.2~AMP@781.0,0.5555555555555556
TEM-1CML,AMP@195.0,AMP@781.0,0.12573333333333334,0.5473775898265296,TEM-1CML|AMP@195.0~AMP@781.0,0.8333333333333334
TEM-1CML,AMP@3.1,AMP@12.2,0.053222222222222226,0.551563593517835,TEM-1CML|AMP@3.1~AMP@12.2,1.0
TEM-1CML,AMP@3.1,AMP@195.0,0.007411111111111112,0.1655183991010503,TEM-1CML|AMP@3.1~AMP@195.0,0.6111111111111112
TEM-1CML,AMP@3.1,AMP@48.8,0.029888888888888892,0.30208159131830203,TEM-1CML|AMP@3.1~AMP@48.8,0.7777777777777778
TEM-1CML,AMP@3.1,AMP@781.0,0.007300000000000001,0.09060106237187852,TEM-1CML|AMP@3.1~AMP@781.0,0.4444444444444444
TEM-1CML,AMP@48.8,AMP@195.0,0.1036,0.547926136043968,TEM-1CML|AMP@48.8~AMP@195.0,0.9444444444444444
TEM-1CML,AMP@48.8,AMP@781.0,0.07758888888888889,0.2999224877507104,TEM-1CML|AMP@48.8~AMP@781.0,0.6666666666666666
TEM-1CML,AMP@781.0,AZT@0.44,0.12863333333333332,0.004259114874584353,TEM-1CML|AMP@781.0~AZT@0.44,0.3333333333333333
TEM-1CML,AMP@781.0,AZT@36.0,0.10516666666666667,0.02884426501989796,TEM-1CML|AMP@781.0~AZT@36.0,0.3888888888888889
TEM-1CML,AZT@0.44,AZT@36.0,0.12362222222222223,0.14765898426069243,TEM-1CML|AZT@0.44~AZT@36.0,0.5
Wu2020_H3N2_siteB,Bei89,Bk79,0.152192,0.36787944117144233,Wu2020_H3N2_siteB|Bei89~Bk79,0.8333333333333334
Wu2020_H3N2_siteB,Bei89,Bris07,-0.064279,0.16529888822158653,Wu2020_H3N2_siteB|Bei89~Bris07,0.6
Wu2020_H3N2_siteB,Bei89,HK68,-0.024395,0.1224564282529819,Wu2020_H3N2_siteB|Bei89~HK68,0.4666666666666667
Wu2020_H3N2_siteB,Bei89,Mos99,-0.01593,0.36787944117144233,Wu2020_H3N2_siteB|Bei89~Mos99,0.8333333333333334
Wu2020_H3N2_siteB,Bei89,NDako16,-0.013417,0.06720551273974976,Wu2020_H3N2_siteB|Bei89~NDako16,0.4
Wu2020_H3N2_siteB,Bk79,Bris07,-0.162697,0.06081006262521797,Wu2020_H3N2_siteB|Bk79~Bris07,0.3333333333333333
Wu2020_H3N2_siteB,Bk79,HK68,0.05118,0.33287108369807955,Wu2020_H3N2_siteB|Bk79~HK68,0.7333333333333333
Wu2020_H3N2_siteB,Bk79,Mos99,-0.004114,0.1353352832366127,Wu2020_H3N2_siteB|Bk79~Mos99,0.5333333333333333
Wu2020_H3N2_siteB,Bk79,NDako16,0.002068,0.024723526470339388,Wu2020_H3N2_siteB|Bk79~NDako16,0.2
Wu2020_H3N2_siteB,Bris07,HK68,-0.106464,0.02024191144580439,Wu2020_H3N2_siteB|Bris07~HK68,0.13333333333333333
Wu2020_H3N2_siteB,Bris07,Mos99,0.019704,0.44932896411722156,Wu2020_H3N2_siteB|Bris07~Mos99,1.0
Wu2020_H3N2_siteB,Bris07,NDako16,0.086848,0.4065696597405991,Wu2020_H3N2_siteB|Bris07~NDako16,0.9333333333333333
Wu2020_H3N2_siteB,HK68,Mos99,0.093362,0.0450492023935578,Wu2020_H3N2_siteB|HK68~Mos99,0.26666666666666666
Wu2020_H3N2_siteB,HK68,NDako16,0.067843,0.00822974704902003,Wu2020_H3N2_siteB|HK68~NDako16,0.06666666666666667
Wu2020_H3N2_siteB,Mos99,NDako16,0.200751,0.18268352405273466,Wu2020_H3N2_siteB|Mos99~NDako16,0.6666666666666666
