task,policy,budget,k,genotype_id,R_0,R_k_oracle,R_k_adaptive,R_B_pi,delta
MA90,greedy_ssm,384,1,0000000001111010,9.041,9.80599,9.80599,9.98803,0.06023
MA90,greedy_ssm,384,1,0000000011101110,9.14296,9.76473,9.76473,10.05404,0.06023
MA90,greedy_ssm,384,1,0000000100010011,8.69219,9.67043,9.67043,9.94512,0.06023
MA90,greedy_ssm,384,1,0000000101001100,9.06296,9.65227,9.65227,10.04506,0.06023
MA90,greedy_ssm,384,1,0000001000100001,9.03571,9.57154,9.57154,10.04747,0.06023
MA90,greedy_ssm,384,1,0000001000100100,9.04951,9.65632,9.65632,10.01417,0.06023
MA90,greedy_ssm,384,1,0000001001001100,8.90129,9.56787,9.56787,10.02485,0.06023
MA90,greedy_ssm,384,1,0000001001101010,9.10341,9.83921,9.83921,10.08631,0.06023
MA90,greedy_ssm,384,1,0000001011101110,9.24336,9.78223,9.78223,10.10122,0.06023
MA90,greedy_ssm,384,1,0000001101011001,9.45667,9.88869,9.88869,10.10752,0.06023
MA90,greedy_ssm,384,1,0000001110001001,8.96512,9.75489,9.75489,10.08817,0.06023
MA90,greedy_ssm,384,1,0000001111001001,9.25449,9.83612,9.83612,10.12708,0.06023
MA90,greedy_ssm,384,1,0000001111001111,9.34167,9.8172,9.8172,10.12959,0.06023
MA90,greedy_ssm,384,1,0000010000001100,8.65619,9.19211,9.19211,9.9261,0.06023
MA90,greedy_ssm,384,1,0000010000100100,8.98025,9.6805,9.6805,9.99203,0.06023
MA90,greedy_ssm,384,1,0000010000110110,8.87145,9.46164,9.46164,9.94124,0.06023
MA90,greedy_ssm,384,1,0000010001000101,8.69105,9.3054,9.3054,9.98304,0.06023
MA90,greedy_ssm,384,1,0000010001100000,9.16307,9.77479,9.77479,10.06308,0.06023
MA90,greedy_ssm,384,1,0000010001101100,9.20161,9.9261,9.9261,9.99215,0.06023
MA90,greedy_ssm,384,1,0000010010001101,8.62193,9.40307,9.40307,9.90946,0.06023
MA90,greedy_ssm,384,1,0000010010110010,8.85247,9.4019,9.4019,9.90042,0.06023
MA90,greedy_ssm,384,1,0000010010110100,8.95742,9.61566,9.61566,10.01912,0.06023
MA90,greedy_ssm,384,1,0000010110100101,9.31539,9.84683,9.84683,10.08215,0.06023
MA90,greedy_ssm,384,1,0000010110101010,9.25184,9.79279,9.79279,10.06019,0.06023
MA90,greedy_ssm,384,1,0000011001101010,9.18487,9.81185,9.81185,10.02434,0.06023
MA90,greedy_ssm,384,1,0000011001111100,9.20043,9.83888,9.83888,10.07431,0.06023
MA90,greedy_ssm,384,1,0000011010000101,8.86303,9.64739,9.64739,9.9432,0.06023
MA90,greedy_ssm,384,1,0000011010101011,9.16065,9.72722,9.72722,10.04727,0.06023
MA90,greedy_ssm,384,1,0000011010111000,9.04233,9.67437,9.67437,10.02563,0.06023
MA90,greedy_ssm,384,1,0000011100001111,8.97816,9.72719,9.72719,10.0726,0.06023
MA90,greedy_ssm,384,1,0000011110100011,9.59416,9.94201,9.94201,10.11246,0.06023
MA90,greedy_ssm,384,1,0000011111110000,9.76668,10.00006,10.00006,10.09203,0.06023
MA90,greedy_ssm,384,1,0000100010001000,8.47622,9.2015,9.2015,9.75283,0.06023
MA90,greedy_ssm,384,1,0000100011100101,9.30015,9.81639,9.81639,9.90949,0.06023
MA90,greedy_ssm,384,1,0000100011101100,9.2312,9.73718,9.73718,9.98209,0.06023
MA90,greedy_ssm,384,1,0000100100000010,8.52675,9.25666,9.25666,9.81173,0.06023
MA90,greedy_ssm,384,1,0000100100001010,8.67733,9.30671,9.30671,9.89955,0.06023
MA90,greedy_ssm,384,1,0000100101000010,8.95766,9.60181,9.60181,9.97314,0.06023
MA90,greedy_ssm,384,1,0000100110101011,9.38366,9.81372,9.81372,10.05233,0.06023
MA90,greedy_ssm,384,1,0000101001011010,8.77064,9.50207,9.50207,9.83721,0.06023
MA90,greedy_ssm,384,1,0000101001110000,9.30927,9.79236,9.79236,9.98982,0.06023
MA90,greedy_ssm,384,1,0000101001111101,9.43768,9.90328,9.90328,10.10752,0.06023
MA90,greedy_ssm,384,1,0000101010010011,8.78574,9.55701,9.55701,9.7992,0.06023
MA90,greedy_ssm,384,1,0000101010110011,9.11125,9.60263,9.60263,9.93572,0.06023
MA90,greedy_ssm,384,1,0000101011010110,8.65303,9.38065,9.38065,9.8421,0.06023
MA90,greedy_ssm,384,1,0000101100001011,8.89773,9.60677,9.60677,10.00146,0.06023
MA90,greedy_ssm,384,1,0000101100011001,8.88719,9.6012,9.6012,9.92517,0.06023
MA90,greedy_ssm,384,1,0000101110010100,8.91717,9.60236,9.60236,9.93066,0.06023
MA90,greedy_ssm,384,1,0000101111100000,9.77527,9.98493,9.98493,10.08475,0.06023
MA90,greedy_ssm,384,1,0000101111100101,9.81175,9.97767,9.97767,10.12596,0.06023
MA90,greedy_ssm,384,1,0000101111110111,9.79991,9.9578,9.9578,10.08996,0.06023
MA90,greedy_ssm,384,1,0000110001000111,8.72195,9.35265,9.35265,9.98974,0.06023
MA90,greedy_ssm,384,1,0000110001111101,9.28174,9.85653,9.85653,10.00348,0.06023
MA90,greedy_ssm,384,1,0000110010111011,9.03761,9.56482,9.56482,9.94391,0.06023
MA90,greedy_ssm,384,1,0000110100010010,8.48821,9.28106,9.28106,9.83188,0.06023
MA90,greedy_ssm,384,1,0000110100111110,9.20061,9.73624,9.73624,9.91489,0.06023
MA90,greedy_ssm,384,1,0000110101010101,9.22526,9.75527,9.75527,9.96699,0.06023
MA90,greedy_ssm,384,1,0000111010001011,8.90927,9.60359,9.60359,9.72878,0.06023
MA90,greedy_ssm,384,1,0000111010010101,8.79025,9.55908,9.55908,9.88207,0.06023
